StageHistoryID,OpportunityID,StageNo,Stage,EnteredOn,ExitedOn,DaysInStage
STH-0000102,OPP-000022,3,3-Quotation,2023-10-03 01:03:40,2023-10-04 02:06:28,1.04
STH-0000103,OPP-000022,4,4-Negotiation,2023-10-04 02:06:28,2023-10-13 11:48:10,9.4
STH-0000104,OPP-000022,5,5-Booking / PO,2023-10-13 11:48:10,2023-10-31 22:12:14,18.43
STH-0000105,OPP-000022,6,6-Closed Won,2023-10-31 22:12:14,,
STH-0000106,OPP-000023,1,1-Enquiry,2023-09-23 14:44:57,2023-09-26 08:48:39,2.75
STH-0000107,OPP-000023,2,2-Test Drive / Demo,2023-09-26 08:48:39,2023-10-07 14:57:35,11.26
STH-0000108,OPP-000023,3,3-Quotation,2023-10-07 14:57:35,2023-10-09 02:49:26,1.49
STH-0000109,OPP-000023,4,4-Negotiation,2023-10-09 02:49:26,2023-10-10 23:38:32,1.87
STH-0000110,OPP-000023,5,5-Booking / PO,2023-10-10 23:38:32,2023-10-24 19:16:27,13.82
STH-0000111,OPP-000023,6,6-Closed Won,2023-10-24 19:16:27,,
STH-0000112,OPP-000024,1,1-Enquiry,2023-09-28 16:46:18,2023-10-01 07:43:50,2.62
STH-0000113,OPP-000024,2,2-Test Drive / Demo,2023-10-01 07:43:50,2023-10-06 03:39:28,4.83
STH-0000114,OPP-000024,3,3-Quotation,2023-10-06 03:39:28,2023-10-08 04:06:42,2.02
STH-0000115,OPP-000024,4,4-Negotiation,2023-10-08 04:06:42,2023-10-08 22:26:38,0.76
STH-0000116,OPP-000024,7,7-Closed Lost,2023-10-08 22:26:38,,
STH-0000117,OPP-000025,1,1-Enquiry,2023-09-27 22:37:50,2023-09-28 20:05:36,0.89
STH-0000118,OPP-000025,7,7-Closed Lost,2023-09-28 20:05:36,,
STH-0000119,OPP-000026,1,1-Enquiry,2023-09-24 06:07:16,2023-09-24 21:35:13,0.64
STH-0000120,OPP-000026,2,2-Test Drive / Demo,2023-09-24 21:35:13,2023-09-26 13:03:04,1.64
STH-0000121,OPP-000026,3,3-Quotation,2023-09-26 13:03:04,2023-09-27 19:02:08,1.25
STH-0000122,OPP-000026,7,7-Closed Lost,2023-09-27 19:02:08,,
STH-0000123,OPP-000027,1,1-Enquiry,2023-09-28 02:46:44,2023-10-02 08:07:03,4.22
STH-0000124,OPP-000027,7,7-Closed Lost,2023-10-02 08:07:03,,
STH-0000125,OPP-000028,1,1-Enquiry,2023-09-23 14:23:26,2023-09-24 02:21:14,0.5
STH-0000126,OPP-000028,2,2-Test Drive / Demo,2023-09-24 02:21:14,2023-09-26 17:26:31,2.63
STH-0000127,OPP-000028,7,7-Closed Lost,2023-09-26 17:26:31,,
STH-0000128,OPP-000029,1,1-Enquiry,2023-09-23 15:30:30,2023-09-24 09:56:25,0.77
STH-0000129,OPP-000029,7,7-Closed Lost,2023-09-24 09:56:25,,
STH-0000130,OPP-000030,1,1-Enquiry,2023-09-23 15:44:29,2023-09-25 17:51:53,2.09
STH-0000131,OPP-000030,2,2-Test Drive / Demo,2023-09-25 17:51:53,2023-10-07 10:55:38,11.71
STH-0000132,OPP-000030,7,7-Closed Lost,2023-10-07 10:55:38,,
STH-0000133,OPP-000031,1,1-Enquiry,2023-09-27 07:16:05,2023-09-28 16:59:57,1.41
STH-0000134,OPP-000031,7,7-Closed Lost,2023-09-28 16:59:57,,
STH-0000135,OPP-000032,1,1-Enquiry,2023-09-29 10:04:22,2023-10-01 05:28:22,1.81
STH-0000136,OPP-000032,2,2-Test Drive / Demo,2023-10-01 05:28:22,2023-10-01 23:50:03,0.77
STH-0000137,OPP-000032,7,7-Closed Lost,2023-10-01 23:50:03,,
STH-0000138,OPP-000033,1,1-Enquiry,2023-09-24 21:54:08,2023-09-28 20:16:16,3.93
STH-0000139,OPP-000033,7,7-Closed Lost,2023-09-28 20:16:16,,
STH-0000140,OPP-000034,1,1-Enquiry,2023-09-27 18:46:38,2023-10-01 03:49:39,3.38
STH-0000141,OPP-000034,2,2-Test Drive / Demo,2023-10-01 03:49:39,2023-10-03 08:14:23,2.18
STH-0000142,OPP-000034,3,3-Quotation,2023-10-03 08:14:23,2023-10-04 02:31:37,0.76
STH-0000143,OPP-000034,4,4-Negotiation,2023-10-04 02:31:37,2023-10-04 11:15:14,0.36
STH-0000144,OPP-000034,5,5-Booking / PO,2023-10-04 11:15:14,2023-10-14 08:35:57,9.89
STH-0000145,OPP-000034,6,6-Closed Won,2023-10-14 08:35:57,,
STH-0000146,OPP-000035,1,1-Enquiry,2023-09-27 08:51:02,,
STH-0000147,OPP-000036,1,1-Enquiry,2023-09-25 12:24:41,,
STH-0000148,OPP-000037,1,1-Enquiry,2023-09-24 00:37:59,2023-09-28 15:29:10,4.62
STH-0000149,OPP-000037,7,7-Closed Lost,2023-09-28 15:29:10,,
STH-0000150,OPP-000038,1,1-Enquiry,2023-09-25 22:01:54,2023-09-29 23:00:07,4.04
STH-0000151,OPP-000038,2,2-Test Drive / Demo,2023-09-29 23:00:07,2023-10-01 20:38:31,1.9
STH-0000152,OPP-000038,7,7-Closed Lost,2023-10-01 20:38:31,,
STH-0000153,OPP-000039,1,1-Enquiry,2023-09-24 11:51:00,2023-09-27 00:22:17,2.52
STH-0000154,OPP-000039,7,7-Closed Lost,2023-09-27 00:22:17,,
STH-0000155,OPP-000040,1,1-Enquiry,2023-09-26 11:41:40,2023-09-29 03:13:49,2.65
STH-0000156,OPP-000040,2,2-Test Drive / Demo,2023-09-29 03:13:49,2023-10-01 19:10:42,2.66
STH-0000157,OPP-000040,7,7-Closed Lost,2023-10-01 19:10:42,,
STH-0000158,OPP-000041,1,1-Enquiry,2023-09-27 22:49:28,2023-09-29 04:07:12,1.22
STH-0000159,OPP-000041,2,2-Test Drive / Demo,2023-09-29 04:07:12,2023-10-02 06:15:10,3.09
STH-0000160,OPP-000041,7,7-Closed Lost,2023-10-02 06:15:10,,
STH-0000161,OPP-000042,1,1-Enquiry,2023-09-23 21:33:51,2023-09-25 02:04:45,1.19
STH-0000162,OPP-000042,2,2-Test Drive / Demo,2023-09-25 02:04:45,2023-09-26 01:30:21,0.98
STH-0000163,OPP-000042,3,3-Quotation,2023-09-26 01:30:21,2023-10-02 01:45:58,6.01
STH-0000164,OPP-000042,7,7-Closed Lost,2023-10-02 01:45:58,,
STH-0000165,OPP-000043,1,1-Enquiry,2023-09-23 23:34:52,2023-09-26 02:29:57,2.12
STH-0000166,OPP-000043,7,7-Closed Lost,2023-09-26 02:29:57,,
STH-0000167,OPP-000044,1,1-Enquiry,2023-09-26 22:46:42,2023-09-27 00:48:23,0.08
STH-0000168,OPP-000044,2,2-Test Drive / Demo,2023-09-27 00:48:23,2023-09-27 20:12:31,0.81
STH-0000169,OPP-000044,7,7-Closed Lost,2023-09-27 20:12:31,,
STH-0000170,OPP-000045,1,1-Enquiry,2023-09-26 04:31:58,2023-09-28 16:25:17,2.5
STH-0000171,OPP-000045,2,2-Test Drive / Demo,2023-09-28 16:25:17,2023-10-03 06:51:27,4.6
STH-0000172,OPP-000045,3,3-Quotation,2023-10-03 06:51:27,,
STH-0000173,OPP-000046,1,1-Enquiry,2023-09-28 21:20:57,2023-09-30 19:21:34,1.92
STH-0000174,OPP-000046,7,7-Closed Lost,2023-09-30 19:21:34,,
STH-0000175,OPP-000047,1,1-Enquiry,2023-09-24 12:25:55,2023-09-24 22:14:25,0.41
STH-0000176,OPP-000047,2,2-Test Drive / Demo,2023-09-24 22:14:25,2023-09-25 10:17:10,0.5
STH-0000177,OPP-000047,3,3-Quotation,2023-09-25 10:17:10,2023-10-07 16:17:37,12.25
STH-0000178,OPP-000047,4,4-Negotiation,2023-10-07 16:17:37,2023-10-13 01:24:05,5.38
STH-0000179,OPP-000047,5,5-Booking / PO,2023-10-13 01:24:05,2023-10-16 04:25:09,3.13
STH-0000180,OPP-000047,6,6-Closed Won,2023-10-16 04:25:09,,
STH-0000181,OPP-000048,1,1-Enquiry,2023-09-23 21:38:39,2023-09-27 19:08:12,3.9
STH-0000182,OPP-000048,2,2-Test Drive / Demo,2023-09-27 19:08:12,2023-09-30 03:37:55,2.35
STH-0000183,OPP-000048,3,3-Quotation,2023-09-30 03:37:55,2023-10-04 07:45:20,4.17
STH-0000184,OPP-000048,4,4-Negotiation,2023-10-04 07:45:20,2023-10-05 14:22:39,1.28
STH-0000185,OPP-000048,5,5-Booking / PO,2023-10-05 14:22:39,2023-11-01 14:12:32,26.99
STH-0000186,OPP-000048,6,6-Closed Won,2023-11-01 14:12:32,,
STH-0000187,OPP-000049,1,1-Enquiry,2023-09-27 05:52:05,2023-09-29 13:42:07,2.33
STH-0000188,OPP-000049,2,2-Test Drive / Demo,2023-09-29 13:42:07,2023-09-30 16:04:03,1.1
STH-0000189,OPP-000049,3,3-Quotation,2023-09-30 16:04:03,2023-10-02 03:03:20,1.46
STH-0000190,OPP-000049,4,4-Negotiation,2023-10-02 03:03:20,2023-10-03 00:56:44,0.91
STH-0000191,OPP-000049,5,5-Booking / PO,2023-10-03 00:56:44,2023-10-24 02:14:10,21.05
STH-0000192,OPP-000049,6,6-Closed Won,2023-10-24 02:14:10,,
STH-0000193,OPP-000050,1,1-Enquiry,2023-09-26 06:54:30,2023-09-27 02:02:50,0.8
STH-0000194,OPP-000050,2,2-Test Drive / Demo,2023-09-27 02:02:50,2023-09-29 22:09:55,2.84
STH-0000195,OPP-000050,3,3-Quotation,2023-09-29 22:09:55,2023-10-03 08:30:51,3.43
STH-0000196,OPP-000050,4,4-Negotiation,2023-10-03 08:30:51,2023-10-07 18:23:54,4.41
STH-0000197,OPP-000050,5,5-Booking / PO,2023-10-07 18:23:54,2023-10-19 22:07:46,12.16
STH-0000198,OPP-000050,6,6-Closed Won,2023-10-19 22:07:46,,
STH-0000199,OPP-000051,1,1-Enquiry,2023-09-29 19:24:50,2023-10-01 06:49:35,1.48
STH-0000200,OPP-000051,2,2-Test Drive / Demo,2023-10-01 06:49:35,2023-10-02 15:02:22,1.34
STH-0000201,OPP-000051,3,3-Quotation,2023-10-02 15:02:22,2023-10-08 00:40:01,5.4
STH-0000202,OPP-000051,4,4-Negotiation,2023-10-08 00:40:01,2023-10-12 03:45:41,4.13
STH-0000203,OPP-000051,5,5-Booking / PO,2023-10-12 03:45:41,2023-12-10 08:32:12,59.2
STH-0000204,OPP-000051,7,7-Closed Lost,2023-12-10 08:32:12,,
STH-0000205,OPP-000052,1,1-Enquiry,2023-09-26 06:26:18,2023-09-27 12:39:12,1.26
STH-0000206,OPP-000052,2,2-Test Drive / Demo,2023-09-27 12:39:12,2023-09-29 05:31:43,1.7
STH-0000207,OPP-000052,3,3-Quotation,2023-09-29 05:31:43,2023-09-29 15:30:04,0.42
STH-0000208,OPP-000052,7,7-Closed Lost,2023-09-29 15:30:04,,
STH-0000209,OPP-000053,1,1-Enquiry,2023-09-25 14:57:37,2023-09-26 20:22:25,1.23
STH-0000210,OPP-000053,2,2-Test Drive / Demo,2023-09-26 20:22:25,2023-10-02 06:28:26,5.42
STH-0000211,OPP-000053,3,3-Quotation,2023-10-02 06:28:26,2023-10-04 21:34:12,2.63
STH-0000212,OPP-000053,4,4-Negotiation,2023-10-04 21:34:12,2023-10-11 18:25:26,6.87
STH-0000213,OPP-000053,5,5-Booking / PO,2023-10-11 18:25:26,2023-11-04 00:20:06,23.25
STH-0000214,OPP-000053,6,6-Closed Won,2023-11-04 00:20:06,,
STH-0000215,OPP-000054,1,1-Enquiry,2023-09-28 20:22:53,2023-09-29 02:59:29,0.28
STH-0000216,OPP-000054,2,2-Test Drive / Demo,2023-09-29 02:59:29,2023-10-03 16:46:15,4.57
STH-0000217,OPP-000054,7,7-Closed Lost,2023-10-03 16:46:15,,
STH-0000218,OPP-000055,1,1-Enquiry,2023-09-26 06:02:07,2023-09-29 17:43:31,3.49
STH-0000219,OPP-000055,2,2-Test Drive / Demo,2023-09-29 17:43:31,2023-09-30 00:59:41,0.3
STH-0000220,OPP-000055,7,7-Closed Lost,2023-09-30 00:59:41,,
STH-0000221,OPP-000056,1,1-Enquiry,2023-09-29 04:23:19,2023-09-30 17:30:14,1.55
STH-0000222,OPP-000056,2,2-Test Drive / Demo,2023-09-30 17:30:14,2023-10-01 14:41:09,0.88
STH-0000223,OPP-000056,3,3-Quotation,2023-10-01 14:41:09,2023-10-05 01:03:42,3.43
STH-0000224,OPP-000056,4,4-Negotiation,2023-10-05 01:03:42,2023-10-08 20:51:45,3.83
STH-0000225,OPP-000056,5,5-Booking / PO,2023-10-08 20:51:45,2023-10-19 17:08:32,10.84
STH-0000226,OPP-000056,6,6-Closed Won,2023-10-19 17:08:32,,
STH-0000227,OPP-000057,1,1-Enquiry,2023-09-29 08:05:05,2023-10-01 05:55:35,1.91
STH-0000228,OPP-000057,2,2-Test Drive / Demo,2023-10-01 05:55:35,2023-10-04 00:32:41,2.78
STH-0000229,OPP-000057,3,3-Quotation,2023-10-04 00:32:41,2023-10-11 07:46:14,7.3
STH-0000230,OPP-000057,4,4-Negotiation,2023-10-11 07:46:14,2023-10-13 03:43:16,1.83
STH-0000231,OPP-000057,5,5-Booking / PO,2023-10-13 03:43:16,2023-11-03 18:13:08,21.6
STH-0000232,OPP-000057,6,6-Closed Won,2023-11-03 18:13:08,,
STH-0000233,OPP-000058,1,1-Enquiry,2023-09-29 07:02:43,2023-10-02 09:17:30,3.09
STH-0000234,OPP-000058,2,2-Test Drive / Demo,2023-10-02 09:17:30,2023-10-04 17:18:03,2.33
STH-0000235,OPP-000058,3,3-Quotation,2023-10-04 17:18:03,2023-10-08 00:33:34,3.3
STH-0000236,OPP-000058,7,7-Closed Lost,2023-10-08 00:33:34,,
STH-0000237,OPP-000059,1,1-Enquiry,2023-09-24 17:12:37,2023-09-28 20:11:32,4.12
STH-0000238,OPP-000059,7,7-Closed Lost,2023-09-28 20:11:32,,
STH-0000239,OPP-000060,1,1-Enquiry,2023-09-25 16:58:10,2023-09-29 03:56:02,3.46
STH-0000240,OPP-000060,2,2-Test Drive / Demo,2023-09-29 03:56:02,2023-10-02 09:27:55,3.23
STH-0000241,OPP-000060,3,3-Quotation,2023-10-02 09:27:55,2023-10-15 13:39:57,13.18
STH-0000242,OPP-000060,7,7-Closed Lost,2023-10-15 13:39:57,,
STH-0000243,OPP-000061,1,1-Enquiry,2023-09-24 23:39:03,2023-09-26 07:25:23,1.32
STH-0000244,OPP-000061,2,2-Test Drive / Demo,2023-09-26 07:25:23,2023-09-29 22:13:54,3.62
STH-0000245,OPP-000061,3,3-Quotation,2023-09-29 22:13:54,2023-10-01 10:00:23,1.49
STH-0000246,OPP-000061,4,4-Negotiation,2023-10-01 10:00:23,2023-10-02 04:14:46,0.76
STH-0000247,OPP-000061,5,5-Booking / PO,2023-10-02 04:14:46,2023-10-06 22:46:01,4.77
STH-0000248,OPP-000061,6,6-Closed Won,2023-10-06 22:46:01,,
STH-0000249,OPP-000062,1,1-Enquiry,2023-09-30 04:20:40,2023-10-02 05:29:19,2.05
STH-0000250,OPP-000062,7,7-Closed Lost,2023-10-02 05:29:19,,
STH-0000251,OPP-000063,1,1-Enquiry,2023-09-28 17:23:02,2023-10-01 04:41:08,2.47
STH-0000252,OPP-000063,2,2-Test Drive / Demo,2023-10-01 04:41:08,2023-10-12 10:20:01,11.24
STH-0000253,OPP-000063,3,3-Quotation,2023-10-12 10:20:01,2023-10-17 16:26:34,5.25
STH-0000254,OPP-000063,4,4-Negotiation,2023-10-17 16:26:34,2023-10-30 02:47:53,12.43
STH-0000255,OPP-000063,7,7-Closed Lost,2023-10-30 02:47:53,,
STH-0000256,OPP-000064,1,1-Enquiry,2023-09-27 22:11:40,2023-09-28 23:25:15,1.05
STH-0000257,OPP-000064,2,2-Test Drive / Demo,2023-09-28 23:25:15,2023-10-03 14:28:34,4.63
STH-0000258,OPP-000064,3,3-Quotation,2023-10-03 14:28:34,2023-10-05 01:26:10,1.46
STH-0000259,OPP-000064,4,4-Negotiation,2023-10-05 01:26:10,2023-10-10 20:56:03,5.81
STH-0000260,OPP-000064,7,7-Closed Lost,2023-10-10 20:56:03,,
STH-0000261,OPP-000065,1,1-Enquiry,2023-09-28 16:17:16,2023-09-29 08:43:26,0.68
STH-0000262,OPP-000065,7,7-Closed Lost,2023-09-29 08:43:26,,
STH-0000263,OPP-000066,1,1-Enquiry,2023-09-25 04:08:43,2023-09-29 17:32:59,4.56
STH-0000264,OPP-000066,2,2-Test Drive / Demo,2023-09-29 17:32:59,2023-10-02 15:27:24,2.91
STH-0000265,OPP-000066,3,3-Quotation,2023-10-02 15:27:24,2023-10-06 06:56:49,3.65
STH-0000266,OPP-000066,4,4-Negotiation,2023-10-06 06:56:49,2023-10-12 13:36:18,6.28
STH-0000267,OPP-000066,7,7-Closed Lost,2023-10-12 13:36:18,,
STH-0000268,OPP-000067,1,1-Enquiry,2023-09-28 10:41:23,2023-09-29 05:48:40,0.8
STH-0000269,OPP-000067,7,7-Closed Lost,2023-09-29 05:48:40,,
STH-0000270,OPP-000068,1,1-Enquiry,2023-09-25 05:08:46,2023-09-26 23:27:09,1.76
STH-0000271,OPP-000068,7,7-Closed Lost,2023-09-26 23:27:09,,
STH-0000272,OPP-000069,1,1-Enquiry,2023-09-26 17:33:56,2023-10-02 17:21:57,5.99
