AccountID,AccountName,AccountType,Industry,ParentAccountID,City,State,Website,GSTIN,DUNS,ParentDUNS,KN_Designation,EstimatedFleetSize,OwnerUserID,CreatedOn
ACC-00037,Vega Life Sciences Pvt Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00036,Bengaluru,Karnataka,vegahealthcareproducts.co.in,29HFFCV7467B1ZK,703854158,774098942,,10,USR-202,2022-06-16 08:21:43
ACC-00038,Vega Polymers LLP,Corporate (Staff & Executive Cars),Manufacturing,ACC-00036,Bengaluru,Karnataka,vegapolymers.in,29HRZFV8144K1ZU,311730749,774098942,Named,10,USR-214,2021-06-06 12:28:56
ACC-00039,Vega Healthcare Products Pvt Ltd - Tumakuru Branch,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00036,Tumkur,Karnataka,vegahealthcareproducts.co.in,29FBWCV7705Z1ZB,,,Named,32,USR-202,2022-01-16 03:45:22
ACC-00040,Galaxy Cabs Pvt Ltd,Cab Fleet Operator,Transportation Services,,Bengaluru,Karnataka,galaxycabs.co.in,29XNSCG8099T1ZI,,,Named,57,USR-208,2020-11-01 18:06:36
ACC-00041,Galaxy Cabs Pvt Ltd - Davanagere Branch,Cab Fleet Operator,Transportation Services,ACC-00040,Davanagere,Karnataka,galaxycabs.co.in,29XNSCG8099T1ZI,,,,13,USR-206,2021-05-15 01:00:52
ACC-00042,Galaxy Cabs,Cab Fleet Operator,Transportation,,Bengaluru,Karnataka,galaxycabs.in,29KGYPG0715G1ZX,,,Named,12,USR-202,2022-06-13 12:20:25
ACC-00043,Omkar Pharmaceuticals Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,,Davanagere,Karnataka,omkarpharmaceuticalslt.in,,,,Key,36,USR-197,2022-09-25 06:01:59
ACC-00044,Omkar Pharmaceuticals Ltd - Mangaluru Branch,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00043,Mangalore,Karnataka,omkarpharmaceuticalslt.in,29OUQCO2660P1Z0,,,Key,7,USR-198,2023-10-10 00:47:28
ACC-00045,Omkar Constructions Pvt Ltd,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00043,Davanagere,Karnataka,omkarconstructions.co.in,29PWGCO8483B1ZH,,,Key,20,USR-197,2023-03-15 03:22:23
ACC-00046,Omkar Precision Components Ltd,Corporate (Staff & Executive Cars),Manufacturing,ACC-00043,Shivamogga,Karnataka,omkarprecisioncomponen.in,29CSZCO4412B1Z6,,,,13,USR-213,2024-04-15 17:00:26
ACC-00047,Yashas Builders Pvt Ltd,Corporate (Staff & Executive Cars),Construction & Real Estate,,Bengaluru,Karnataka,yashasbuilders.co.in,29nwkcy8321u1zh,360551347,,Key,26,USR-200,2023-01-24 11:17:05
ACC-00048,Yashas Builders Pvt Ltd - Mangaluru Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00047,Mangaluru,Karnataka,yashasbuilders.co.in,29NWKCY8321U1ZH,,,Key,9,USR-197,2024-05-23 13:24:51
ACC-00049,Yashas Builders Pvt Ltd - Tumakuru Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00047,Tumakuru,Karnataka,yashasbuilders.co.in,29NWKCY8321U1ZH,,,Key,7,USR-198,2025-06-28 17:04:23
ACC-00050,Yashas Builders Pvt Ltd - Davanagere Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00047,Davanagere,Karnataka,yashasbuilders.co.in,29NWKCY8321U1ZH,981980684,360551347,Key,4,USR-200,2023-05-16 01:59:31
ACC-00051,Yashas Builders Pvt Ltd - Hubballi Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00047,Hubballi,Karnataka,yashasbuilders.co.in,29NWKCY8321U1ZH,793173801,360551347,Key,5,USR-200,2025-04-02 03:23:15
ACC-00052,Yashas Builders Pvt Ltd - Belagavi Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,,Belgaum,Karnataka,yashasbuilders.co.in,29NWKCY8321U1ZH,298142101,360551347,Key,7,USR-200,2025-02-14 05:14:12
ACC-00053,Prime Employee Transport Solutions Pvt Ltd,Employee Transport Services,Transportation Services,,Hyderabad,Telangana,primeemployeetransport.com,36JTOCP2576N1ZA,879947947,,Key,207,USR-197,2019-05-24 03:28:55
ACC-00054,Prime Employee Transport Solutions Pvt Ltd - Tumakuru Branch,Employee Transport Services,Transportation Services,ACC-00053,Tumakuru,Karnataka,primeemployeetransport.com,29JTOCP2576N1Z5,,,,22,USR-211,2020-01-22 21:41:33
ACC-00055,Prime Mobility Services Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00053,Bengaluru,Karnataka,primeemployeetransport.com,29BQICP2015A1ZY,899252824,879947947,Key,80,USR-197,2020-12-27 01:58:55
ACC-00056,Prime Commute Solutions Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00053,Bengaluru,Karnataka,primecommutesolutions.co.in,29HFDCP0900E1ZE,208099566,879947947,Key,75,USR-197,2021-10-16 02:04:17
ACC-00057,Prime Employee Transport Solutions Pvt Ltd - Bengaluru Branch,Employee Transport Services,Transportation Services,ACC-00053,Bengaluru,Karnataka,primeemployeetransport.com,29JTOCP2576N1Z5,796975483,879947947,,53,USR-214,2021-06-11 20:33:28
ACC-00058,Karavali Retail Pvt Ltd,Corporate (Staff & Executive Cars),,,Mangaluru,Karnataka,karavaliretail.com,29UGKCK1535T1ZT,321717017,,Key,53,USR-200,2021-06-11 22:19:12
ACC-00059,Karavali Builders Pvt Ltd,Corporate (Staff & Executive Cars),Construction & Real Estate,,Mysuru,Karnataka,karavalibuilders.in,29QXCCK2950Z1ZP,239609044,321717017,Key,32,USR-198,2021-09-17 13:37:44
ACC-00060,Karavali Capital Pvt Ltd,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00058,Bengaluru,Karnataka,karavaliretail.com,29TLBCK4090L1Z0,860891146,321717017,Key,27,USR-200,2021-11-06 10:47:10
ACC-00061,Karavali Traders Pvt Ltd,Corporate (Staff & Executive Cars),,ACC-00058,Mysuru,Karnataka,karavalitraders.com,29SYYCK4918Y1ZX,575791783,321717017,Key,7,USR-198,2022-10-29 18:35:18
ACC-00062,Karavali Life Sciences Pvt Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00058,Bengaluru,Karnataka,karavaliretail.com,,,,Key,5,USR-198,2022-09-03 21:57:09
ACC-00063,Karavali Retail Pvt Ltd - Mysuru Branch,Corporate (Staff & Executive Cars),Retail,ACC-00058,Mysuru,Karnataka,karavaliretail.com,29UGKCK1535T1ZT,612984612,321717017,,7,USR-211,2023-04-11 01:05:58
ACC-00064,Annapoorna Engineering Works Pvt Ltd,Corporate (Staff & Executive Cars),Manufacturing,,Davanagere,Karnataka,annapoornaengineeringw.co.in,29YNECA7560M1ZR,864757171,,Key,10,USR-200,2020-06-28 09:32:17
ACC-00065,Annapoorna Engineering Works Pvt Ltd - Hubballi Branch,Corporate (Staff & Executive Cars),Manufacturing,ACC-00064,Hubballi,Karnataka,annapoornaengineeringw.co.in,29YNECA7560M1ZR,406800822,864757171,,3,USR-204,2021-03-14 02:17:29
ACC-00066,Annapoorna Finance Pvt Ltd,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-90066,Mangaluru,Karnataka,annapoornafinance.in,29FHYCA4398G1ZA,987058990,864757171,Key,8,USR-197,2022-08-15 13:43:22
ACC-00067,Annapoorna Engineering Works Pvt Ltd - Bengaluru Branch,Corporate (Staff & Executive Cars),Manufacturing,ACC-00064,Bengaluru,Karnataka,annapoornaengineeringw.co.in,29YNECA7560M1ZR,604699636,864757171,Key,2,USR-200,2021-05-03 12:53:15
ACC-00068,Hampi Capital LLP,Corporate (Staff & Executive Cars),Banking & Financial Services,,Bengaluru,Karnataka,hampicapital.in,29BFCFH7593Z1ZL,598583012,,Key,29,USR-198,2022-01-07 10:26:05
ACC-00069,Hampi Capital LLP - Shivamogga Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00068,Shivamogga,Karnataka,hampicapital.in,29BFCFH7593Z1ZL,863912900,598583012,Key,3,USR-197,2022-10-03 17:04:59
ACC-00070,Hampi Engineering Works Pvt Ltd,Corporate (Staff & Executive Cars),,ACC-00068,Mangaluru,Karnataka,hampiengineeringworks.com,29BQXCH1261A1ZL,282511406,598583012,Key,13,USR-197,2022-06-21 15:07:36
ACC-00071,Hampi Precision Components LLP,Corporate (Staff & Executive Cars),Manufacturing,ACC-00068,Bengaluru,Karnataka,hampicapital.in,29MXMFH7716J1Z6,,,Key,5,USR-197,2023-09-03 14:56:51
ACC-00072,Surya Commute Solutions Ltd,Employee Transport Services,Transportation Services,,Bengaluru,Karnataka,suryacommutesolutionsl.com,29VWMCS6208P1ZP,617652814,,Key,66,USR-197,2020-06-24 00:04:29
ACC-00073,Surya Commute Solutions Ltd - Hubballi Branch,Employee Transport Services,Transportation Services,ACC-00072,Hubli,Karnataka,suryacommutesolutionsl.com,29VWMCS6208P1ZP,,,Key,22,USR-200,2021-07-19 02:56:24
ACC-00074,Surya Mobility Services LLP,Employee Transport Services,Travels,ACC-00072,Hubballi,Karnataka,suryamobilityservices.com,29ASZFS1961X1ZH,,,Key,69,USR-200,2020-08-08 13:00:42
ACC-00075,Surya Staff Transport Services Pvt Ltd,Employee Transport Services,Transportation Services,,Bengaluru,Karnataka,suryacommutesolutionsl.com,29RTSCS0750S1ZS,756802689,617652814,Key,31,USR-200,2022-01-09 00:48:32
ACC-00076,Surya Employee Transport Solutions Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00072,Bengaluru,Karnataka,suryaemployeetransport.com,29SMPCS9425N1Z4,,,Key,47,USR-198,2022-11-14 10:22:12
ACC-00077,Royal Tours & Travels,Cab Fleet Operator,Transportation Services,,Udupi,Karnataka,royaltourstravels.in,29ODLPR0884R1Z0,,,Key,33,USR-197,2019-02-02 15:02:07
ACC-00078,Royal Tours & Travels - Belagavi Branch,Cab Fleet Operator,Transportation Services,ACC-00077,Belagavi,Karnataka,royaltourstravels.in,29ODLPR0884R1Z0,,,Key,10,USR-199,2020-12-19 09:46:01
ACC-00079,Royal Tours & Travels - Hubballi Branch,Cab Fleet Operator,Transportation Services,ACC-00077,Hubballi,Karnataka,royaltourstravels.in,29ODLPR0884R1Z0,,,Key,11,USR-200,2021-03-06 19:16:43
ACC-00080,Royal Fleet Services Pvt Ltd,Cab Fleet Operator,Transport,ACC-00077,Bengaluru,Karnataka,royaltourstravels.in,29ERDCR0473O1ZT,,,Key,23,USR-198,2019-06-13 11:00:13
ACC-00081,Royal Tours & Travels - Hubballi Branch,Cab Fleet Operator,Transportation Services,ACC-00077,Hubli,Karnataka,royaltourstravels.in,29ODLPR0884R1Z0,,,Key,4,USR-198,2020-05-31 15:48:55
ACC-00082,Royal Tours & Travels Pvt Ltd,Cab Fleet Operator,Transportation Services,ACC-00077,Bengaluru,Karnataka,royaltourstravels.com,29LTVCR0058J1ZD,,,Key,21,USR-199,2020-01-23 18:16:02
ACC-00083,Sri Ganesh Retail LLP,Corporate (Staff & Executive Cars),Retail,,Bengaluru,Karnataka,sriganeshretail.co.in,29ZPGFS7638X1Z7,,,Named,46,USR-208,2021-07-28 19:15:07
ACC-00084,Sri Ganesh Retail LLP - Udupi Branch,Corporate (Staff & Executive Cars),Retail,ACC-00083,Udupi,Karnataka,sriganeshretail.co.in,29ZPGFS7638X1Z7,,,Named,6,USR-204,2021-10-03 15:26:20
ACC-00085,Sri Ganesh Retail LLP - Davanagere Branch,Corporate (Staff & Executive Cars),Retail,ACC-00083,Davanagere,Karnataka,sriganeshretail.co.in,29ZPGFS7638X1Z7,,,,10,USR-202,2024-01-04 01:19:50
ACC-00086,Sri Ganesh Retail LLP - Hubballi Branch,Corporate (Staff & Executive Cars),Retail,ACC-00083,Hubballi,Karnataka,sriganeshretail.co.in,29ZPGFS7638X1Z7,,,Named,10,USR-208,2022-06-05 14:18:37
ACC-00087,Horizon Staff Transport Services LLP,Employee Transport Services,Transportation Services,,Tumakuru,Karnataka,horizonstafftransports.com,29ZGWFH5045S1Z6,,,Key,107,USR-197,2024-03-15 19:06:37
ACC-00088,Horizon Staff Transport Services LLP - Udupi Branch,Employee Transport Services,Transportation Services,ACC-00087,Udupi,Karnataka,horizonstafftransports.com,29ZGWFH5045S1Z6,,,Key,16,USR-197,2025-03-20 00:00:09
ACC-00089,Horizon Staff Transport Services LLP - Udupi Branch,Employee Transport Services,Transportation Services,ACC-00087,Udupi,Karnataka,horizonstafftransports.com,29ZGWFH5045S1Z6,,,Key,16,USR-200,2024-05-11 19:50:37
ACC-00090,Horizon Corporate Mobility Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00087,Bengaluru,Karnataka,horizoncorporatemobili.in,,,,Key,60,USR-197,2024-09-19 13:06:09
ACC-00091,Horizon Staff Transport Services LLP - Hubballi Branch,Employee Transport Services,Transportation Services,ACC-00087,Hubballi,Karnataka,horizonstafftransports.com,29ZGWFH5045S1Z6,,,Key,12,USR-200,2026-06-06 21:00:58
ACC-00092,Horizon Staff Transport Services LLP - Davanagere Branch,Employee Transport Services,Transportation Services,ACC-00087,Davanagere,Karnataka,horizonstafftransports.com,29ZGWFH5045S1Z6,,,,14,USR-215,2024-07-31 14:56:13
ACC-00093,Horizon Commute Solutions Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00087,Udupi,Karnataka,horizoncommutesolution.com,,,,Key,157,USR-198,2026-07-08 21:44:04
ACC-00094,Chandra Finance Pvt Ltd,Corporate (Staff & Executive Cars),Banking & Financial Services,,Bengaluru,Karnataka,chandrafinance.in,29IHVCC0328J1ZN,351419330,,Key,15,USR-197,2019-01-31 20:02:42
ACC-00095,Chandra Finance Pvt Ltd - Mangaluru Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00094,Mangalore,Karnataka,chandrafinance.in,29IHVCC0328J1ZN,,,Key,2,USR-198,2019-12-13 03:05:45
ACC-00096,Chandra Software Solutions Pvt Ltd,Corporate (Staff & Executive Cars),Information Technology,ACC-00094,Mangaluru,Karnataka,chandrafinance.in,29IBTCC7334V1Z1,,,Key,16,USR-197,2021-07-11 20:09:11
ACC-00097,Chandra Pharmaceuticals LLP,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00094,Bengaluru,Karnataka,chandrapharmaceuticals.com,29UHRFC1334A1ZS,,,Key,12,USR-198,2019-11-26 04:40:55
ACC-00098,Chandra Finance Pvt Ltd - Udupi Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00094,Udupi,Karnataka,chandrafinance.in,29IHVCC0328J1ZN,472759768,351419330,Key,2,USR-198,2019-05-26 23:50:53
ACC-00099,Chandra Finance Pvt Ltd - Mysuru Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00094,Mysuru,Karnataka,chandrafinance.in,29IHVCC0328J1ZN,891470559,351419330,,3,USR-202,2020-02-07 12:21:08
ACC-00100,Chandra Finance Pvt Ltd - Mysuru Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00094,Mysuru,Karnataka,chandrafinance.in,,475968957,351419330,Key,2,USR-197,2019-12-13 00:40:13
ACC-00101,Pinnacle Car Hire Pvt Ltd,Car Rental & Self-Drive,Automotive Rental,,Mangaluru,Karnataka,pinnaclecarhire.co.in,29ZMZCP5782V1Z6,304057207,,Named,78,USR-205,2021-08-11 22:22:22
ACC-00102,Pinnacle Car Hire Pvt Ltd - Mysuru Branch,Car Rental & Self-Drive,Automotive Rental,,Mysuru,Karnataka,pinnaclecarhire.co.in,29ZMZCP5782V1Z6,,,Named,10,USR-214,2023-02-01 03:40:42
ACC-00103,Pinnacle Car Hire Pvt Ltd - Udupi Branch,Car Rental & Self-Drive,Automotive Rental,ACC-00101,Udupi,Karnataka,pinnaclecarhire.co.in,29ZMZCP5782V1Z6,365396061,304057207,Named,24,USR-201,2021-11-01 03:07:49
ACC-00104,Pinnacle Car Hire Pvt Ltd - Hubballi Branch,Car Rental & Self-Drive,Automotive Rental,ACC-00101,Hubballi,Karnataka,pinnaclecarhire.co.in,29ZMZCP5782V1Z6,334578170,304057207,,26,USR-206,2023-04-10 16:14:07
ACC-00105,Pinnacle Self Drive Cars Pvt Ltd,Car Rental & Self-Drive,Automotive Rental,ACC-00101,Bengaluru,Karnataka,pinnaclecarhire.co.in,29ESZCP7639L1ZZ,908436945,304057207,,99,USR-202,2023-02-04 04:11:27
ACC-00106,Pinnacle Car Rentals Pvt Ltd,Car Rental & Self-Drive,Automotive Rental,ACC-00101,Bengaluru,Karnataka,pinnaclecarhire.co.in,29JTKCP3077E1ZU,631952466,304057207,Named,51,USR-209,2023-11-28 17:05:34
ACC-00107,Pinnacle Car Hire Pvt Ltd - Bengaluru Branch,Car Rental & Self-Drive,Automotive Rental,ACC-00101,Bengaluru,Karnataka,pinnaclecarhire.co.in,29ZMZCP5782V1Z6,,,Named,21,USR-208,2023-04-02 16:15:54
ACC-00108,Silicon Developers Pvt Ltd,Corporate (Staff & Executive Cars),Real Estate,,Bengaluru,Karnataka,silicondevelopers.com,,329094382,,Key,42,USR-200,2023-12-21 17:49:58
ACC-00109,Silicon Developers Pvt Ltd - Shivamogga Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00490,Shivamogga,Karnataka,silicondevelopers.com,,360865647,329094382,Key,10,USR-200,2024-12-23 10:29:05
ACC-00110,Silicon Developers Pvt Ltd - Davanagere Branch,Corporate (Staff & Executive Cars),Construction & Real Estate,ACC-00108,Davanagere,Karnataka,silicondevelopers.com,29VBMCS3688O1ZK,739869348,329094382,Key,14,USR-198,2026-05-10 08:08:37
ACC-00111,Silicon Healthcare Products Pvt Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,,Bengaluru,Karnataka,siliconhealthcareprodu.com,29ADSCS7515A1ZY,556909297,329094382,Key,10,USR-198,2025-09-19 06:43:16
ACC-00112,Chamundi Technologies Pvt Ltd,Corporate (Staff & Executive Cars),Information Technology,,Belagavi,Karnataka,chamunditechnologies.com,29TQMCC4202A1ZO,545340627,,Key,15,USR-199,2025-04-16 11:45:16
ACC-00113,Chamundi Technologies Pvt Ltd - Hubballi Branch,Corporate (Staff & Executive Cars),Information Technology,ACC-00112,Hubballi,Karnataka,chamunditechnologies.com,29TQMCC4202A1ZO,363080388,545340627,Key,5,USR-200,2026-09-22 00:00:00
ACC-00114,Chamundi Technologies Pvt Ltd - Shivamogga Branch,Corporate (Staff & Executive Cars),Information Technology,ACC-00247,Shivamogga,Karnataka,chamunditechnologies.com,,135571256,545340627,Key,4,USR-198,2026-02-08 03:02:14
ACC-00115,Chamundi Polymers Pvt Ltd,Corporate (Staff & Executive Cars),Manufacturing,ACC-00112,Bengaluru,Karnataka,chamundipolymers.in,29MCICC7865N1ZA,,,,18,USR-209,2026-09-22 00:00:00
