LineID,OpportunityID,ProductID,Quantity,UnitPriceINR,DiscountPct,LineValueINR
OPL-0000108,OPP-000107,PRD13,1,999100,3.99,959223
OPL-0000109,OPP-000108,PRD16,1,1278100,6.45,1195722
OPL-0000110,OPP-000109,PRD09,1,841000,4.09,806632
OPL-0000111,OPP-000110,PRD08,1,721800,4.77,687360
OPL-0000112,OPP-000111,PRD11,1,671600,3.51,648016
OPL-0000113,OPP-000112,PRD08,1,613000,4.93,582795
OPL-0000114,OPP-000113,PRD09,1,820800,4.39,784749
OPL-0000115,OPP-000114,PRD08,1,714800,1.63,703144
OPL-0000116,OPP-000115,PRD02,1,651800,3.03,632049
OPL-0000117,OPP-000116,PRD05,1,896600,2.95,870154
OPL-0000118,OPP-000117,PRD16,1,1332500,4.96,1266368
OPL-0000119,OPP-000118,PRD13,1,830900,2.73,808227
OPL-0000120,OPP-000119,PRD08,1,686000,5.2,650323
OPL-0000121,OPP-000120,PRD13,1,1005400,4.78,957310
OPL-0000122,OPP-000121,PRD09,1,841400,3.45,812361
OPL-0000123,OPP-000122,PRD21,1,1756300,4.7,1673768
OPL-0000124,OPP-000123,PRD03,1,828400,2.4,808490
OPL-0000125,OPP-000124,PRD01,1,558300,2.06,546817
OPL-0000126,OPP-000125,PRD02,1,685600,3.52,661437
OPL-0000127,OPP-000126,PRD13,1,987500,5.47,933472
OPL-0000128,OPP-000127,PRD14,1,1160400,4.12,1112541
OPL-0000129,OPP-000128,PRD12,1,723400,6.71,674856
OPL-0000130,OPP-000129,PRD08,1,699300,3.6,674117
OPL-0000131,OPP-000130,PRD13,1,868100,1.63,853959
OPL-0000132,OPP-000131,PRD02,1,789200,2.86,766645
OPL-0000133,OPP-000132,PRD03,1,974200,1.66,958059
OPL-0000134,OPP-000133,PRD01,1,570900,3.35,551784
OPL-0000135,OPP-000134,PRD19,1,1651000,1.76,1622023
OPL-0000136,OPP-000135,PRD03,20,845100,8.26,15505492
OPL-0000137,OPP-000136,PRD09,1,729600,3.97,700663
OPL-0000138,OPP-000137,PRD13,1,866700,4.87,824482
OPL-0000139,OPP-000138,PRD09,1,807500,4.01,775102
OPL-0000140,OPP-000139,PRD13,1,957800,5.52,904913
OPL-0000141,OPP-000140,PRD21,1,1930100,3.16,1869025
OPL-0000142,OPP-000141,PRD03,6,885500,7.51,4914129
OPL-0000143,OPP-000142,PRD13,1,933300,6.87,869167
OPL-0000144,OPP-000143,PRD14,1,1202700,3.15,1164829
OPL-0000145,OPP-000144,PRD16,1,1373600,5.43,1298990
OPL-0000146,OPP-000145,PRD02,1,730500,6.73,681342
OPL-0000147,OPP-000146,PRD13,1,978000,3.12,947471
OPL-0000148,OPP-000147,PRD13,1,1015400,4.71,967616
OPL-0000149,OPP-000148,PRD13,1,912000,2.11,892766
OPL-0000150,OPP-000149,PRD01,1,614300,5.19,582438
OPL-0000151,OPP-000150,PRD04,1,708700,3.96,680664
OPL-0000152,OPP-000151,PRD14,1,1213500,5.12,1151422
OPL-0000153,OPP-000152,PRD13,1,1013600,2.61,987121
OPL-0000154,OPP-000153,PRD01,1,584500,3.78,562394
OPL-0000155,OPP-000154,PRD08,1,627700,2.95,609153
OPL-0000156,OPP-000155,PRD09,1,851800,4.37,814589
OPL-0000157,OPP-000156,PRD06,1,1310300,1.57,1289734
OPL-0000158,OPP-000157,PRD14,1,1230200,1.55,1211169
OPL-0000159,OPP-000158,PRD01,1,631300,4.19,604823
OPL-0000160,OPP-000159,PRD05,1,809200,5.58,764031
OPL-0000161,OPP-000160,PRD08,1,619800,7.33,574354
OPL-0000162,OPP-000162,PRD13,2,1033100,7.2,1917440
OPL-0000163,OPP-000163,PRD09,1,697200,3.36,673741
OPL-0000164,OPP-000164,PRD14,1,1028500,1.64,1011608
OPL-0000165,OPP-000165,PRD09,1,736700,5.29,697762
OPL-0000166,OPP-000166,PRD05,1,899000,3.68,865941
OPL-0000167,OPP-000167,PRD01,1,567500,4.76,540479
OPL-0000168,OPP-000168,PRD08,1,670600,5.62,632933
OPL-0000169,OPP-000169,PRD08,1,637800,4.48,609248
OPL-0000170,OPP-000170,PRD08,1,649000,3.91,623622
OPL-0000171,OPP-000171,PRD08,1,711000,7.19,659870
OPL-0000172,OPP-000172,PRD19,1,1588800,7.5,1469644
OPL-0000173,OPP-000173,PRD16,1,1264900,3.77,1217182
OPL-0000174,OPP-000174,PRD11,1,698300,3.52,673716
OPL-0000175,OPP-000175,PRD01,1,588600,3.6,567387
OPL-0000176,OPP-000176,PRD13,1,870700,1.71,855796
OPL-0000177,OPP-000177,PRD03,1,991200,4.26,948977
OPL-0000178,OPP-000178,PRD19,1,1733100,5.0,1646390
OPL-0000179,OPP-000179,PRD09,1,707700,5.43,669282
OPL-0000180,OPP-000180,PRD09,1,712800,5.77,671649
OPL-0000181,OPP-000181,PRD02,1,718700,3.35,694605
OPL-0000182,OPP-000182,PRD09,1,691300,3.18,669308
OPL-0000183,OPP-000183,PRD19,1,1579300,2.36,1542034
OPL-0000184,OPP-000184,PRD01,1,645000,3.08,625126
OPL-0000185,OPP-000185,PRD11,1,743400,5.46,702779
OPL-0000186,OPP-000186,PRD21,1,1799300,4.58,1716892
OPL-0000187,OPP-000187,PRD08,1,723700,4.21,693204
OPL-0000188,OPP-000188,PRD01,1,572300,6.15,537094
OPL-0000189,OPP-000189,PRD09,1,810200,4.73,771838
OPL-0000190,OPP-000190,PRD13,1,1060200,6.9,987061
OPL-0000191,OPP-000191,PRD04,1,685700,5.15,650368
OPL-0000192,OPP-000192,PRD14,1,1230200,4.72,1172095
OPL-0000193,OPP-000193,PRD14,1,1024600,4.21,981504
OPL-0000194,OPP-000194,PRD08,1,719900,4.01,691065
OPL-0000195,OPP-000195,PRD21,1,1933800,8.62,1767122
OPL-0000196,OPP-000195,PRD13,4,1055500,8.62,3858097
OPL-0000197,OPP-000196,PRD11,3,836000,4.92,2384485
OPL-0000198,OPP-000197,PRD01,1,562600,6.49,526062
OPL-0000199,OPP-000198,PRD01,1,536300,6.19,503086
OPL-0000200,OPP-000199,PRD13,1,877300,4.02,842012
OPL-0000201,OPP-000200,PRD19,1,1711000,4.41,1635578
OPL-0000202,OPP-000201,PRD02,1,747600,5.8,704238
OPL-0000203,OPP-000202,PRD02,2,720700,2.03,1412118
OPL-0000204,OPP-000203,PRD05,1,750900,5.01,713295
OPL-0000205,OPP-000204,PRD04,1,692200,4.08,663934
OPL-0000206,OPP-000205,PRD09,1,782700,4.73,745683
OPL-0000207,OPP-000206,PRD13,1,958700,5.6,904992
OPL-0000208,OPP-000207,PRD08,1,714400,4.7,680796
OPL-0000209,OPP-000208,PRD03,1,866100,3.07,839517
OPL-0000210,OPP-000209,PRD12,1,905400,4.57,864049
OPL-0000211,OPP-000210,PRD09,1,736000,6.68,686809
OPL-0000212,OPP-000211,PRD13,1,892200,2.02,874139
OPL-0000213,OPP-000212,PRD16,1,1313700,4.98,1248260
OPL-0000214,OPP-000213,PRD19,1,1590900,4.24,1523523
OPL-0000215,OPP-000214,PRD13,1,882800,4.14,846243
OPL-0000216,OPP-000215,PRD19,1,1704700,3.14,1651186
OPL-0000217,OPP-000216,PRD08,1,665600,6.91,619580
OPL-0000218,OPP-000217,PRD02,1,619500,5.34,586433
OPL-0000219,OPP-000218,PRD04,1,607800,3.73,585105
OPL-0000220,OPP-000219,PRD21,1,1802100,3.1,1746283
OPL-0000221,OPP-000220,PRD01,1,646000,3.83,621276
OPL-0000222,OPP-000221,PRD01,1,597700,4.28,572097
OPL-0000223,OPP-000222,PRD01,1,577300,6.15,541823
OPL-0000224,OPP-000223,PRD19,3,1570900,7.3,4368474
OPL-0000225,OPP-000223,PRD19,9,1754200,7.3,14634625
OPL-0000226,OPP-000224,PRD09,1,744600,6.74,694382
OPL-0000227,OPP-000225,PRD14,1,1249700,2.65,1216619
OPL-0000228,OPP-000226,PRD03,1,1040100,4.58,992445
OPL-0000229,OPP-000227,PRD01,1,562700,4.05,539885
OPL-0000230,OPP-000228,PRD19,1,1605300,7.23,1489251
OPL-0000231,OPP-000229,PRD14,1,1195500,5.36,1131443
OPL-0000232,OPP-000230,PRD01,1,558300,5.24,529053
OPL-0000233,OPP-000231,PRD08,1,703400,6.22,659666
OPL-0000234,OPP-000232,PRD01,1,624200,7.18,579387
OPL-0000235,OPP-000233,PRD01,1,560800,4.19,537307
OPL-0000236,OPP-000234,PRD06,2,1405100,5.21,2663783
OPL-0000237,OPP-000235,PRD14,1,1230800,4.18,1179347
OPL-0000238,OPP-000236,PRD03,1,885400,5.38,837770
OPL-0000239,OPP-000237,PRD08,1,632500,2.54,616433
OPL-0000240,OPP-000238,PRD08,1,662100,4.7,630996
OPL-0000241,OPP-000239,PRD08,1,759000,4.54,724534
OPL-0000242,OPP-000240,PRD14,1,1141700,3.02,1107174
OPL-0000243,OPP-000241,PRD01,1,602000,5.5,568900
OPL-0000244,OPP-000242,PRD06,1,1208400,1.91,1185331
OPL-0000245,OPP-000243,PRD06,1,1449800,3.78,1395021
OPL-0000246,OPP-000244,PRD08,1,754300,1.99,739297
OPL-0000247,OPP-000245,PRD13,1,906200,6.1,850942
OPL-0000248,OPP-000246,PRD01,1,654400,6.69,610607
OPL-0000249,OPP-000247,PRD04,1,614700,7.02,571530
OPL-0000250,OPP-000248,PRD08,1,644600,5.77,607392
OPL-0000251,OPP-000249,PRD08,1,644900,5.19,611413
OPL-0000252,OPP-000250,PRD09,1,743400,3.69,715936
OPL-0000253,OPP-000251,PRD12,1,798100,4.31,763721
OPL-0000254,OPP-000252,PRD13,1,971900,6.35,910212
OPL-0000255,OPP-000253,PRD08,1,604300,6.28,566345
OPL-0000256,OPP-000254,PRD08,1,696700,7.24,646250
OPL-0000257,OPP-000255,PRD09,1,686900,3.45,663198
OPL-0000258,OPP-000256,PRD03,1,1048600,4.89,997317
OPL-0000259,OPP-000257,PRD16,1,1527900,7.37,1415226
OPL-0000260,OPP-000258,PRD14,1,1207900,5.5,1141437
OPL-0000261,OPP-000259,PRD01,1,567700,7.47,525301
OPL-0000262,OPP-000260,PRD11,1,784600,3.79,754826
OPL-0000263,OPP-000261,PRD19,3,1770500,7.91,4891555
OPL-0000264,OPP-000262,PRD01,1,553500,2.66,538772
OPL-0000265,OPP-000263,PRD12,1,827900,2.64,806057
OPL-0000266,OPP-000264,PRD11,1,695700,5.94,654378
OPL-0000267,OPP-000265,PRD19,1,1746800,4.15,1674290
OPL-0000268,OPP-000266,PRD01,1,623400,4.27,596800
OPL-0000269,OPP-000267,PRD08,1,663600,4.66,632700
OPL-0000270,OPP-000268,PRD08,1,678500,5.82,638993
OPL-0000271,OPP-000269,PRD01,1,571700,3.2,553411
OPL-0000272,OPP-000270,PRD09,1,830000,4.31,794255
OPL-0000273,OPP-000271,PRD01,1,652900,4.12,625979
OPL-0000274,OPP-000272,PRD09,1,775400,4.56,740006
OPL-0000275,OPP-000273,PRD01,1,588400,7.3,545460
OPL-0000276,OPP-000274,PRD02,1,651400,3.72,627196
OPL-0000277,OPP-000275,PRD11,1,648400,1.69,637471
OPL-0000278,OPP-000276,PRD11,1,716400,5.58,676416
OPL-0000279,OPP-000277,PRD09,1,678500,6.08,637244
OPL-0000280,OPP-000278,PRD01,1,627300,5.77,591086
OPL-0000281,OPP-000279,PRD08,1,708300,4.89,673639
OPL-0000282,OPP-000280,PRD02,1,639300,6.51,597672
OPL-0000283,OPP-000281,PRD06,1,1374100,2.01,1346542
OPL-0000284,OPP-000282,PRD13,1,905300,3.81,870816
OPL-0000285,OPP-000283,PRD16,1,1313700,6.63,1226634
OPL-0000286,OPP-000284,PRD11,1,817300,6.47,764395
OPL-0000287,OPP-000285,PRD06,1,1244800,5.01,1182383
OPL-0000288,OPP-000286,PRD04,1,767000,2.15,750488
OPL-0000289,OPP-000287,PRD01,1,560900,5.56,529689
OPL-0000290,OPP-000288,PRD02,1,687000,6.98,639058
OPL-0000291,OPP-000289,PRD13,1,939900,6.26,881055
OPL-0000292,OPP-000290,PRD08,1,706100,4.71,672845
OPL-0000293,OPP-000291,PRD03,1,931900,6.72,869249
OPL-0000294,OPP-000292,PRD13,1,1065400,7.24,988312
OPL-0000295,OPP-000293,PRD11,1,716200,6.7,668181
OPL-0000296,OPP-000294,PRD01,1,598400,6.06,562117
OPL-0000297,OPP-000295,PRD21,2,1735300,7.4,3213831
OPL-0000298,OPP-000296,PRD01,1,641800,5.79,604624
OPL-0000299,OPP-000297,PRD08,1,765900,4.62,730525
OPL-0000300,OPP-000298,PRD16,1,1452100,6.86,1352486
OPL-0000301,OPP-000299,PRD09,2,802400,3.84,1543153
OPL-0000302,OPP-000300,PRD14,1,1284300,6.6,1199524
OPL-0000303,OPP-000301,PRD08,1,712500,6.3,667587
OPL-0000304,OPP-000302,PRD05,1,771600,4.47,737127
OPL-0000305,OPP-000303,PRD09,1,819900,5.51,774689
OPL-0000306,OPP-000304,PRD08,1,683600,3.81,657557
OPL-0000307,OPP-000305,PRD19,11,1845700,6.58,18967502
OPL-0000308,OPP-000306,PRD08,1,599500,5.28,567821
OPL-0000309,OPP-000307,PRD11,1,765600,5.77,721423
OPL-0000310,OPP-000308,PRD08,1,713900,4.84,679354
OPL-0000311,OPP-000309,PRD11,1,685600,3.91,658775
OPL-0000312,OPP-000310,PRD01,1,575500,7.11,534594
OPL-0000313,OPP-000311,PRD14,1,1285300,7.5,1188956
OPL-0000314,OPP-000312,PRD05,1,773300,6.92,719817
OPL-0000315,OPP-000313,PRD08,1,706400,3.61,680864
OPL-0000316,OPP-000314,PRD09,1,872700,5.37,825802
OPL-0000317,OPP-000315,PRD05,1,740100,3.69,712764
OPL-0000318,OPP-000316,PRD13,1,869100,7.46,804278
OPL-0000319,OPP-000317,PRD13,1,955300,6.44,893802
OPL-0000320,OPP-000318,PRD05,5,750600,8.42,3436895
OPL-0000321,OPP-000319,PRD02,1,750700,4.7,715426
OPL-0000322,OPP-000320,PRD02,1,729900,7.3,676634
OPL-0000323,OPP-000321,PRD11,1,735400,4.15,704916
OPL-0000324,OPP-000322,PRD21,1,1705700,6.8,1589718
OPL-0000325,OPP-000323,PRD05,1,765500,5.17,725928
OPL-0000326,OPP-000324,PRD01,2,646600,4.72,1232200
OPL-0000327,OPP-000325,PRD01,1,570600,4.63,544206
OPL-0000328,OPP-000326,PRD03,1,903800,4.57,862511
OPL-0000329,OPP-000327,PRD01,1,651800,7.31,604185
OPL-0000330,OPP-000328,PRD08,1,629600,6.15,590888
OPL-0000331,OPP-000329,PRD02,1,611800,6.04,574830
OPL-0000332,OPP-000330,PRD01,1,585300,5.27,554439
OPL-0000333,OPP-000331,PRD01,1,535800,5.25,507653
OPL-0000334,OPP-000332,PRD13,1,892100,7.01,829561
OPL-0000335,OPP-000333,PRD06,1,1231200,7.34,1140774
OPL-0000336,OPP-000334,PRD02,1,668700,7.19,620620
OPL-0000337,OPP-000335,PRD01,1,635100,5.63,599337
OPL-0000338,OPP-000336,PRD12,1,857200,3.82,824491
OPL-0000339,OPP-000337,PRD09,1,752300,5.74,709126
OPL-0000340,OPP-000338,PRD16,1,1370200,5.6,1293515
OPL-0000341,OPP-000339,PRD02,1,648000,4.05,621755
OPL-0000342,OPP-000340,PRD01,1,604100,4.64,576044
OPL-0000343,OPP-000341,PRD02,1,755300,5.44,714221
OPL-0000344,OPP-000342,PRD13,1,949200,5.86,893606
OPL-0000345,OPP-000343,PRD01,1,598900,4.73,570544
OPL-0000346,OPP-000344,PRD19,1,1747600,4.51,1668821
OPL-0000347,OPP-000345,PRD13,1,900600,6.99,837668
OPL-0000348,OPP-000346,PRD12,1,816700,3.66,786816
OPL-0000349,OPP-000347,PRD08,1,590600,5.03,560909
OPL-0000350,OPP-000348,PRD04,1,731400,4.86,695869
OPL-0000351,OPP-000349,PRD16,1,1266900,5.79,1193557
OPL-0000352,OPP-000350,PRD08,1,729600,7.46,675142
OPL-0000353,OPP-000351,PRD01,1,662800,4.72,631532
OPL-0000354,OPP-000352,PRD13,1,1043100,5.8,982581
OPL-0000355,OPP-000353,PRD01,1,651300,3.7,627185
OPL-0000356,OPP-000354,PRD12,1,818900,6.44,766200
OPL-0000357,OPP-000355,PRD21,1,1683200,7.06,1564354
OPL-0000358,OPP-000356,PRD05,1,756200,3.97,726191
OPL-0000359,OPP-000357,PRD13,1,1008700,5.73,950933
OPL-0000360,OPP-000358,PRD03,1,858700,6.83,800025
OPL-0000361,OPP-000359,PRD13,1,979900,4.11,939621
OPL-0000362,OPP-000360,PRD19,1,1481600,5.49,1400260
OPL-0000363,OPP-000361,PRD11,1,662500,5.99,622846
OPL-0000364,OPP-000362,PRD02,1,738300,4.1,708052
OPL-0000365,OPP-000363,PRD13,1,998200,5.76,940739
OPL-0000366,OPP-000364,PRD14,1,1280300,6.99,1190800
OPL-0000367,OPP-000365,PRD01,1,572100,4.03,549033
OPL-0000368,OPP-000366,PRD08,2,604000,5.04,1147135
OPL-0000369,OPP-000367,PRD08,1,623000,5.71,587403
OPL-0000370,OPP-000368,PRD08,1,618300,4.31,591660
OPL-0000371,OPP-000369,PRD12,1,794900,4.75,757163
OPL-0000372,OPP-000370,PRD13,1,899700,6.46,841571
OPL-0000373,OPP-000371,PRD01,1,583400,4.54,556899
OPL-0000374,OPP-000372,PRD01,1,614800,7.38,569408
OPL-0000375,OPP-000373,PRD21,1,1717100,3.8,1651795
OPL-0000376,OPP-000374,PRD05,1,792700,7.98,729429
OPL-0000377,OPP-000375,PRD08,1,596600,4.99,566808
OPL-0000378,OPP-000376,PRD04,1,723900,6.52,676725
OPL-0000379,OPP-000377,PRD16,1,1348400,4.04,1293940
OPL-0000380,OPP-000378,PRD16,1,1258000,4.95,1195671
OPL-0000381,OPP-000379,PRD01,1,555000,4.63,529289
OPL-0000382,OPP-000380,PRD08,1,727800,3.91,699355
OPL-0000383,OPP-000381,PRD05,1,763500,4.91,726026
OPL-0000384,OPP-000382,PRD01,1,559000,4.96,531280
OPL-0000385,OPP-000383,PRD09,1,747600,4.89,711038
OPL-0000386,OPP-000384,PRD02,1,652200,4.56,622438
OPL-0000387,OPP-000385,PRD09,1,692000,3.54,667472
OPL-0000388,OPP-000386,PRD16,1,1459000,6.82,1359445
OPL-0000389,OPP-000387,PRD13,1,985200,6.22,923965
OPL-0000390,OPP-000388,PRD13,1,901000,5.48,851608
OPL-0000391,OPP-000389,PRD02,1,743100,7.46,687672
OPL-0000392,OPP-000390,PRD19,1,1799200,5.8,1694884
OPL-0000393,OPP-000391,PRD02,1,626100,4.74,596435
OPL-0000394,OPP-000392,PRD19,1,1890500,3.52,1823990
OPL-0000395,OPP-000393,PRD01,1,547300,3.51,528073
OPL-0000396,OPP-000394,PRD08,1,694400,5.51,656153
OPL-0000397,OPP-000395,PRD08,1,738900,5.84,695737
OPL-0000398,OPP-000396,PRD09,1,672600,4.54,642039
OPL-0000399,OPP-000397,PRD09,1,716300,6.76,667858
OPL-0000400,OPP-000398,PRD19,1,1676000,4.6,1598903
OPL-0000401,OPP-000399,PRD13,1,980300,5.8,923457
OPL-0000402,OPP-000400,PRD13,1,1014800,4.51,969028
OPL-0000403,OPP-000401,PRD13,1,895800,5.86,843346
OPL-0000404,OPP-000402,PRD13,1,1039900,3.57,1002725
OPL-0000405,OPP-000403,PRD02,2,670300,6.82,1249215
OPL-0000406,OPP-000404,PRD13,1,910000,5.18,862825
OPL-0000407,OPP-000405,PRD19,1,1854900,3.99,1780980
OPL-0000408,OPP-000406,PRD08,1,654100,6.43,612071
OPL-0000409,OPP-000407,PRD09,1,697800,5.55,659055
OPL-0000410,OPP-000408,PRD14,1,1289400,7.15,1197243
OPL-0000411,OPP-000409,PRD09,1,720500,6.88,670963
OPL-0000412,OPP-000410,PRD16,1,1431300,4.86,1361786
OPL-0000413,OPP-000411,PRD08,1,593800,3.89,570696
OPL-0000414,OPP-000412,PRD09,1,803500,3.67,774009
OPL-0000415,OPP-000413,PRD02,1,704300,6.23,660429
OPL-0000416,OPP-000414,PRD21,1,1630900,6.54,1524220
OPL-0000417,OPP-000415,PRD01,1,667200,6.76,622090
OPL-0000418,OPP-000416,PRD16,1,1304400,4.82,1241577
OPL-0000419,OPP-000416,PRD13,1,900500,4.82,857130
OPL-0000420,OPP-000417,PRD01,1,538800,4.4,515101
OPL-0000421,OPP-000418,PRD09,7,707600,5.98,4657095
OPL-0000422,OPP-000418,PRD03,6,1043700,5.98,5887842
OPL-0000423,OPP-000419,PRD09,1,785200,4.52,749728
OPL-0000424,OPP-000420,PRD16,1,1269600,4.66,1210387
OPL-0000425,OPP-000421,PRD11,2,745900,6.77,1390846
OPL-0000426,OPP-000422,PRD01,1,619500,6.29,580563
OPL-0000427,OPP-000423,PRD02,1,697400,4.4,666690
