SnapshotDate,OutletID,Channel,StageNo,Stage,OpenDeals,OpenUnits,OpenValueINR,StaleDeals,OverdueDeals
2023-09-25,OUT06,Retail,2,2-Test Drive / Demo,3,3,2164772,0,0
2023-09-25,OUT07,Retail,1,1-Enquiry,3,3,3777452,0,0
2023-09-25,OUT07,Retail,3,3-Quotation,1,1,533322,0,0
2023-09-25,OUT08,Corporate & Fleet,1,1-Enquiry,2,9,9918539,0,0
2023-09-26,OUT01,Retail,1,1-Enquiry,9,11,9353112,0,0
2023-09-26,OUT01,Retail,2,2-Test Drive / Demo,1,1,507753,0,0
2023-09-26,OUT01,Retail,3,3-Quotation,1,1,575276,0,0
2023-09-26,OUT02,Retail,1,1-Enquiry,8,8,7872469,0,0
2023-09-26,OUT02,Retail,2,2-Test Drive / Demo,2,2,1988588,0,0
2023-09-26,OUT02,Retail,3,3-Quotation,2,2,2640197,0,0
2023-09-26,OUT03,Retail,1,1-Enquiry,4,4,3244223,0,0
2023-09-26,OUT03,Retail,2,2-Test Drive / Demo,2,2,1184796,0,0
2023-09-26,OUT04,Retail,1,1-Enquiry,10,10,8832869,0,0
2023-09-26,OUT04,Retail,2,2-Test Drive / Demo,1,1,650809,0,0
2023-09-26,OUT05,Retail,1,1-Enquiry,6,6,5720022,0,0
2023-09-26,OUT05,Retail,3,3-Quotation,1,1,1795638,0,0
2023-09-26,OUT06,Retail,1,1-Enquiry,9,9,8136520,0,0
2023-09-26,OUT06,Retail,2,2-Test Drive / Demo,4,4,2888974,0,0
2023-09-26,OUT06,Retail,3,3-Quotation,1,1,592828,0,0
2023-09-26,OUT07,Retail,1,1-Enquiry,3,3,2839342,0,0
2023-09-26,OUT07,Retail,2,2-Test Drive / Demo,1,1,1500504,0,0
2023-09-26,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-09-26,OUT08,Corporate & Fleet,1,1-Enquiry,3,11,10952282,0,0
2023-09-27,OUT01,Retail,1,1-Enquiry,9,11,9100226,0,0
2023-09-27,OUT01,Retail,2,2-Test Drive / Demo,3,3,2463199,0,0
2023-09-27,OUT01,Retail,3,3-Quotation,1,1,575276,0,0
2023-09-27,OUT02,Retail,1,1-Enquiry,11,11,9389049,0,0
2023-09-27,OUT02,Retail,2,2-Test Drive / Demo,2,2,1988588,0,0
2023-09-27,OUT02,Retail,3,3-Quotation,2,2,2640197,0,0
2023-09-27,OUT03,Retail,1,1-Enquiry,8,8,7311550,0,0
2023-09-27,OUT03,Retail,2,2-Test Drive / Demo,3,3,2374120,0,0
2023-09-27,OUT04,Retail,1,1-Enquiry,9,9,8054442,0,0
2023-09-27,OUT04,Retail,2,2-Test Drive / Demo,4,4,3223343,0,0
2023-09-27,OUT05,Retail,1,1-Enquiry,8,8,5702465,0,0
2023-09-27,OUT05,Retail,2,2-Test Drive / Demo,3,3,2720910,0,0
2023-09-27,OUT05,Retail,3,3-Quotation,1,1,1795638,0,0
2023-09-27,OUT06,Retail,1,1-Enquiry,9,9,7861747,0,0
2023-09-27,OUT06,Retail,2,2-Test Drive / Demo,6,6,4506103,0,0
2023-09-27,OUT07,Retail,1,1-Enquiry,5,6,4939138,0,0
2023-09-27,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-09-27,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-09-27,OUT08,Corporate & Fleet,1,1-Enquiry,3,11,10952282,0,0
2023-09-28,OUT01,Retail,1,1-Enquiry,13,15,12427740,0,0
2023-09-28,OUT01,Retail,2,2-Test Drive / Demo,4,4,3322218,0,0
2023-09-28,OUT01,Retail,3,3-Quotation,1,1,575276,0,0
2023-09-28,OUT02,Retail,1,1-Enquiry,23,23,19904019,0,0
2023-09-28,OUT02,Retail,2,2-Test Drive / Demo,3,3,3049360,0,0
2023-09-28,OUT02,Retail,3,3-Quotation,2,2,2640197,0,0
2023-09-28,OUT03,Retail,1,1-Enquiry,10,10,9199274,0,0
2023-09-28,OUT03,Retail,2,2-Test Drive / Demo,5,5,3849681,0,0
2023-09-28,OUT03,Retail,3,3-Quotation,1,1,680664,0,0
2023-09-28,OUT04,Retail,1,1-Enquiry,10,10,8705852,0,0
2023-09-28,OUT04,Retail,2,2-Test Drive / Demo,7,7,7586973,0,0
2023-09-28,OUT04,Retail,3,3-Quotation,1,1,674117,0,0
2023-09-28,OUT05,Retail,1,1-Enquiry,9,9,8136531,0,0
2023-09-28,OUT05,Retail,2,2-Test Drive / Demo,4,4,3476536,0,0
2023-09-28,OUT05,Retail,3,3-Quotation,1,1,1795638,0,0
2023-09-28,OUT05,Retail,4,4-Negotiation,1,1,542016,0,0
2023-09-28,OUT06,Retail,1,1-Enquiry,8,8,5969201,0,0
2023-09-28,OUT06,Retail,2,2-Test Drive / Demo,7,7,5305667,0,0
2023-09-28,OUT07,Retail,1,1-Enquiry,3,4,3437656,0,0
2023-09-28,OUT07,Retail,2,2-Test Drive / Demo,1,1,846557,0,0
2023-09-28,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-09-28,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-09-28,OUT08,Corporate & Fleet,1,1-Enquiry,4,31,26457774,0,0
2023-09-29,OUT01,Retail,1,1-Enquiry,11,11,7942670,0,0
2023-09-29,OUT01,Retail,2,2-Test Drive / Demo,10,12,10304772,0,0
2023-09-29,OUT01,Retail,3,3-Quotation,2,2,1083029,0,0
2023-09-29,OUT02,Retail,1,1-Enquiry,19,19,15563668,0,0
2023-09-29,OUT02,Retail,2,2-Test Drive / Demo,7,7,6427679,0,0
2023-09-29,OUT02,Retail,3,3-Quotation,4,4,5034299,0,0
2023-09-29,OUT03,Retail,1,1-Enquiry,12,12,11155582,0,0
2023-09-29,OUT03,Retail,2,2-Test Drive / Demo,5,5,3600092,0,0
2023-09-29,OUT03,Retail,3,3-Quotation,3,3,2156225,0,0
2023-09-29,OUT04,Retail,1,1-Enquiry,8,8,7710073,0,0
2023-09-29,OUT04,Retail,2,2-Test Drive / Demo,11,11,10879272,0,0
2023-09-29,OUT04,Retail,3,3-Quotation,2,2,1324926,0,0
2023-09-29,OUT05,Retail,1,1-Enquiry,7,7,6995656,0,0
2023-09-29,OUT05,Retail,2,2-Test Drive / Demo,5,5,3457970,0,0
2023-09-29,OUT05,Retail,4,4-Negotiation,1,1,1795638,0,0
2023-09-29,OUT05,Retail,5,5-Booking / PO,1,1,542016,0,0
2023-09-29,OUT06,Retail,1,1-Enquiry,9,9,6541534,0,0
2023-09-29,OUT06,Retail,2,2-Test Drive / Demo,7,7,5760434,0,0
2023-09-29,OUT06,Retail,3,3-Quotation,2,2,1709076,0,0
2023-09-29,OUT07,Retail,1,1-Enquiry,7,8,6306578,0,0
2023-09-29,OUT07,Retail,2,2-Test Drive / Demo,1,1,846557,0,0
2023-09-29,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-09-29,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-09-29,OUT08,Corporate & Fleet,1,1-Enquiry,4,31,26457774,0,0
2023-09-30,OUT01,Retail,1,1-Enquiry,18,18,14689089,0,0
2023-09-30,OUT01,Retail,2,2-Test Drive / Demo,10,11,9696966,0,0
2023-09-30,OUT01,Retail,3,3-Quotation,5,6,3662858,0,0
2023-09-30,OUT02,Retail,1,1-Enquiry,24,24,20191397,0,0
2023-09-30,OUT02,Retail,2,2-Test Drive / Demo,9,9,7855553,0,0
2023-09-30,OUT02,Retail,3,3-Quotation,4,4,5034299,0,0
2023-09-30,OUT02,Retail,4,4-Negotiation,1,1,808490,0,0
2023-09-30,OUT03,Retail,1,1-Enquiry,10,10,8373114,0,0
2023-09-30,OUT03,Retail,2,2-Test Drive / Demo,7,7,5111650,0,0
2023-09-30,OUT03,Retail,3,3-Quotation,3,3,2452783,0,0
2023-09-30,OUT04,Retail,1,1-Enquiry,11,12,9523405,0,0
2023-09-30,OUT04,Retail,2,2-Test Drive / Demo,8,8,7336669,0,0
2023-09-30,OUT04,Retail,3,3-Quotation,4,4,3313370,0,0
2023-09-30,OUT04,Retail,4,4-Negotiation,1,1,674117,0,0
2023-09-30,OUT05,Retail,1,1-Enquiry,12,12,11810619,0,0
2023-09-30,OUT05,Retail,2,2-Test Drive / Demo,5,5,4157080,0,0
2023-09-30,OUT05,Retail,3,3-Quotation,1,1,599880,0,0
2023-09-30,OUT05,Retail,5,5-Booking / PO,2,2,2337654,0,0
2023-09-30,OUT06,Retail,1,1-Enquiry,9,9,6536424,0,0
2023-09-30,OUT06,Retail,2,2-Test Drive / Demo,6,6,5150820,0,0
2023-09-30,OUT06,Retail,3,3-Quotation,4,4,3281110,0,0
2023-09-30,OUT07,Retail,1,1-Enquiry,6,7,5257690,0,0
2023-09-30,OUT07,Retail,2,2-Test Drive / Demo,2,2,1386442,0,0
2023-09-30,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-09-30,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-09-30,OUT08,Corporate & Fleet,1,1-Enquiry,3,29,25424031,0,0
2023-09-30,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,1,2,1033743,0,0
2023-10-01,OUT01,Retail,1,1-Enquiry,21,20,16025170,0,0
2023-10-01,OUT01,Retail,2,2-Test Drive / Demo,12,13,10887758,0,0
2023-10-01,OUT01,Retail,3,3-Quotation,5,6,4142226,0,0
2023-10-01,OUT01,Retail,4,4-Negotiation,1,1,507753,0,0
2023-10-01,OUT02,Retail,1,1-Enquiry,21,21,18389111,0,0
2023-10-01,OUT02,Retail,2,2-Test Drive / Demo,17,17,13968778,0,0
2023-10-01,OUT02,Retail,3,3-Quotation,5,5,5703607,0,0
2023-10-01,OUT02,Retail,4,4-Negotiation,1,1,808490,0,0
2023-10-01,OUT03,Retail,1,1-Enquiry,15,15,12310441,0,0
2023-10-01,OUT03,Retail,2,2-Test Drive / Demo,7,7,5245268,0,0
2023-10-01,OUT03,Retail,3,3-Quotation,4,4,3165305,0,0
2023-10-01,OUT04,Retail,1,1-Enquiry,15,16,12304079,0,0
2023-10-01,OUT04,Retail,2,2-Test Drive / Demo,5,5,4179242,0,0
2023-10-01,OUT04,Retail,3,3-Quotation,7,7,6582256,0,0
2023-10-01,OUT04,Retail,4,4-Negotiation,1,1,674117,0,0
2023-10-01,OUT05,Retail,1,1-Enquiry,14,14,10923570,0,0
2023-10-01,OUT05,Retail,2,2-Test Drive / Demo,6,6,6441711,0,0
2023-10-01,OUT05,Retail,3,3-Quotation,2,2,1247896,0,0
2023-10-01,OUT05,Retail,5,5-Booking / PO,2,2,2337654,0,0
2023-10-01,OUT06,Retail,1,1-Enquiry,8,8,6062015,0,0
2023-10-01,OUT06,Retail,2,2-Test Drive / Demo,6,6,4899700,0,0
2023-10-01,OUT06,Retail,3,3-Quotation,5,5,4243530,0,0
2023-10-01,OUT07,Retail,1,1-Enquiry,10,12,9558377,0,0
2023-10-01,OUT07,Retail,2,2-Test Drive / Demo,3,3,2519798,0,0
2023-10-01,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-10-01,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-10-01,OUT08,Corporate & Fleet,1,1-Enquiry,4,31,28087814,0,0
2023-10-01,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,1,2,1033743,0,0
2023-10-02,OUT01,Retail,1,1-Enquiry,24,23,20397222,0,0
2023-10-02,OUT01,Retail,2,2-Test Drive / Demo,10,10,7542862,0,0
2023-10-02,OUT01,Retail,3,3-Quotation,9,11,9301206,0,0
2023-10-02,OUT01,Retail,4,4-Negotiation,1,1,575276,0,0
2023-10-02,OUT01,Retail,5,5-Booking / PO,1,1,507753,0,0
2023-10-02,OUT02,Retail,1,1-Enquiry,20,20,18126768,0,0
2023-10-02,OUT02,Retail,2,2-Test Drive / Demo,16,16,12551968,0,0
2023-10-02,OUT02,Retail,3,3-Quotation,8,8,8704327,0,0
2023-10-02,OUT02,Retail,4,4-Negotiation,2,2,1477798,0,0
2023-10-02,OUT03,Retail,1,1-Enquiry,15,15,13800520,0,0
2023-10-02,OUT03,Retail,2,2-Test Drive / Demo,9,9,6415896,0,0
2023-10-02,OUT03,Retail,3,3-Quotation,6,6,4648753,0,0
2023-10-02,OUT04,Retail,1,1-Enquiry,16,16,11138314,0,0
2023-10-02,OUT04,Retail,2,2-Test Drive / Demo,8,9,7410637,0,0
2023-10-02,OUT04,Retail,3,3-Quotation,5,5,4547214,0,0
2023-10-02,OUT04,Retail,4,4-Negotiation,4,4,3698142,0,0
2023-10-02,OUT05,Retail,1,1-Enquiry,14,14,12293783,0,0
2023-10-02,OUT05,Retail,2,2-Test Drive / Demo,6,6,6757852,0,0
2023-10-02,OUT05,Retail,3,3-Quotation,2,2,1424362,0,0
2023-10-02,OUT05,Retail,5,5-Booking / PO,2,2,2337654,0,0
2023-10-02,OUT06,Retail,1,1-Enquiry,9,9,6676372,0,0
2023-10-02,OUT06,Retail,2,2-Test Drive / Demo,5,5,3475666,0,0
2023-10-02,OUT06,Retail,3,3-Quotation,7,7,5785704,0,0
2023-10-02,OUT06,Retail,4,4-Negotiation,1,1,959223,0,0
2023-10-02,OUT07,Retail,1,1-Enquiry,14,15,10898737,0,0
2023-10-02,OUT07,Retail,2,2-Test Drive / Demo,5,6,5619621,0,0
2023-10-02,OUT07,Retail,3,3-Quotation,1,1,1500504,0,0
2023-10-02,OUT07,Retail,4,4-Negotiation,1,1,533322,0,0
2023-10-02,OUT08,Corporate & Fleet,1,1-Enquiry,4,31,28087814,0,0
2023-10-02,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,1,2,1033743,0,0
2023-10-03,OUT01,Retail,1,1-Enquiry,25,25,20552508,0,0
2023-10-03,OUT01,Retail,2,2-Test Drive / Demo,7,7,5422535,0,0
2023-10-03,OUT01,Retail,3,3-Quotation,9,11,9423654,0,0
2023-10-03,OUT01,Retail,4,4-Negotiation,3,3,2014991,0,0
2023-10-03,OUT01,Retail,5,5-Booking / PO,1,1,507753,0,0
2023-10-03,OUT02,Retail,1,1-Enquiry,23,24,21533938,0,0
2023-10-03,OUT02,Retail,2,2-Test Drive / Demo,16,16,12052020,0,0
2023-10-03,OUT02,Retail,3,3-Quotation,10,10,10145670,0,0
2023-10-03,OUT02,Retail,4,4-Negotiation,4,4,3572119,0,0
2023-10-03,OUT03,Retail,1,1-Enquiry,13,13,10927285,0,0
2023-10-03,OUT03,Retail,2,2-Test Drive / Demo,12,12,9803257,0,0
2023-10-03,OUT03,Retail,3,3-Quotation,7,7,5598315,0,0
2023-10-03,OUT04,Retail,1,1-Enquiry,16,16,12438014,0,0
2023-10-03,OUT04,Retail,2,2-Test Drive / Demo,8,9,7446960,0,0
2023-10-03,OUT04,Retail,3,3-Quotation,6,6,5128803,0,0
2023-10-03,OUT04,Retail,4,4-Negotiation,4,4,3943003,0,0
2023-10-03,OUT04,Retail,5,5-Booking / PO,1,1,629278,0,0
2023-10-03,OUT05,Retail,1,1-Enquiry,13,13,10603915,0,0
2023-10-03,OUT05,Retail,2,2-Test Drive / Demo,7,7,7138276,0,0
2023-10-03,OUT05,Retail,3,3-Quotation,4,4,3596536,0,0
2023-10-03,OUT05,Retail,5,5-Booking / PO,2,2,2337654,0,0
2023-10-03,OUT06,Retail,1,1-Enquiry,10,10,7411429,0,0
2023-10-03,OUT06,Retail,2,2-Test Drive / Demo,6,6,4560998,0,0
2023-10-03,OUT06,Retail,3,3-Quotation,6,6,4558038,0,0
2023-10-03,OUT06,Retail,4,4-Negotiation,2,2,1963541,0,0
2023-10-03,OUT07,Retail,1,1-Enquiry,14,15,10838369,0,0
2023-10-03,OUT07,Retail,2,2-Test Drive / Demo,3,4,3590681,0,0
2023-10-03,OUT07,Retail,3,3-Quotation,3,3,2933494,0,0
2023-10-03,OUT08,Corporate & Fleet,1,1-Enquiry,5,39,35565768,0,0
2023-10-03,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,2,4,3697526,0,0
2023-10-04,OUT01,Retail,1,1-Enquiry,26,26,22442457,0,0
2023-10-04,OUT01,Retail,2,2-Test Drive / Demo,12,12,8421587,0,0
2023-10-04,OUT01,Retail,3,3-Quotation,8,9,8540803,0,0
2023-10-04,OUT01,Retail,4,4-Negotiation,4,5,3274424,0,0
2023-10-04,OUT01,Retail,5,5-Booking / PO,2,2,1083029,0,0
2023-10-04,OUT02,Retail,1,1-Enquiry,22,22,20919879,0,0
2023-10-04,OUT02,Retail,2,2-Test Drive / Demo,23,24,19553491,0,0
2023-10-04,OUT02,Retail,3,3-Quotation,10,10,9931141,0,0
2023-10-04,OUT02,Retail,4,4-Negotiation,5,5,4632891,0,0
2023-10-04,OUT03,Retail,1,1-Enquiry,15,15,11896586,0,0
2023-10-04,OUT03,Retail,2,2-Test Drive / Demo,14,14,12602727,0,0
2023-10-04,OUT03,Retail,3,3-Quotation,6,6,4632833,0,0
2023-10-04,OUT03,Retail,4,4-Negotiation,3,3,2244879,0,0
2023-10-04,OUT04,Retail,1,1-Enquiry,16,16,13362812,0,0
2023-10-04,OUT04,Retail,2,2-Test Drive / Demo,16,17,14276573,0,0
2023-10-04,OUT04,Retail,3,3-Quotation,5,5,4328725,0,0
2023-10-04,OUT04,Retail,4,4-Negotiation,4,4,3868942,0,0
2023-10-04,OUT04,Retail,5,5-Booking / PO,2,2,1503417,0,0
2023-10-04,OUT05,Retail,1,1-Enquiry,9,9,7412486,0,0
2023-10-04,OUT05,Retail,2,2-Test Drive / Demo,9,9,8976807,0,0
2023-10-04,OUT05,Retail,3,3-Quotation,6,6,5182795,0,0
2023-10-04,OUT05,Retail,5,5-Booking / PO,3,3,3310304,0,0
2023-10-04,OUT06,Retail,1,1-Enquiry,7,9,8635050,0,0
2023-10-04,OUT06,Retail,2,2-Test Drive / Demo,11,11,7831744,0,0
2023-10-04,OUT06,Retail,3,3-Quotation,3,3,2496695,0,0
2023-10-04,OUT06,Retail,4,4-Negotiation,4,4,3320126,0,0
2023-10-04,OUT07,Retail,1,1-Enquiry,14,15,12740313,0,0
2023-10-04,OUT07,Retail,2,2-Test Drive / Demo,7,8,6416702,0,0
2023-10-04,OUT07,Retail,3,3-Quotation,3,3,2933494,0,0
2023-10-04,OUT08,Corporate & Fleet,1,1-Enquiry,5,39,35565768,0,0
2023-10-04,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,2,4,3697526,0,0
2023-10-05,OUT01,Retail,1,1-Enquiry,24,25,21809748,0,0
2023-10-05,OUT01,Retail,2,2-Test Drive / Demo,13,13,10243878,0,0
2023-10-05,OUT01,Retail,3,3-Quotation,9,10,8032100,0,0
2023-10-05,OUT01,Retail,4,4-Negotiation,4,4,2722747,0,0
2023-10-05,OUT01,Retail,5,5-Booking / PO,2,2,1083029,0,0
2023-10-05,OUT02,Retail,1,1-Enquiry,24,24,18950121,0,0
2023-10-05,OUT02,Retail,2,2-Test Drive / Demo,20,21,17777876,0,0
2023-10-05,OUT02,Retail,3,3-Quotation,16,16,16494654,0,0
2023-10-05,OUT02,Retail,4,4-Negotiation,6,6,5966221,0,0
2023-10-05,OUT03,Retail,1,1-Enquiry,16,16,12083461,0,0
2023-10-05,OUT03,Retail,2,2-Test Drive / Demo,19,19,16535513,0,0
2023-10-05,OUT03,Retail,3,3-Quotation,6,6,4625662,0,0
2023-10-05,OUT03,Retail,4,4-Negotiation,3,3,2244879,0,0
2023-10-05,OUT04,Retail,1,1-Enquiry,14,14,12186838,0,0
2023-10-05,OUT04,Retail,2,2-Test Drive / Demo,15,15,11090867,0,0
2023-10-05,OUT04,Retail,3,3-Quotation,9,9,7794681,0,0
2023-10-05,OUT04,Retail,4,4-Negotiation,4,4,2757053,0,0
2023-10-05,OUT04,Retail,5,5-Booking / PO,2,2,1503417,0,0
2023-10-05,OUT05,Retail,1,1-Enquiry,7,7,5354361,0,0
2023-10-05,OUT05,Retail,2,2-Test Drive / Demo,9,9,8606882,0,0
2023-10-05,OUT05,Retail,3,3-Quotation,5,5,3983271,0,0
2023-10-05,OUT05,Retail,5,5-Booking / PO,3,3,3310304,0,0
2023-10-05,OUT06,Retail,1,1-Enquiry,8,10,11694659,0,0
2023-10-05,OUT06,Retail,2,2-Test Drive / Demo,10,10,6964558,0,0
2023-10-05,OUT06,Retail,3,3-Quotation,3,3,2371943,0,0
2023-10-05,OUT06,Retail,4,4-Negotiation,4,4,3669735,0,0
2023-10-05,OUT06,Retail,5,5-Booking / PO,1,1,612811,0,0
2023-10-05,OUT07,Retail,1,1-Enquiry,12,13,11309949,0,0
2023-10-05,OUT07,Retail,2,2-Test Drive / Demo,10,11,9279777,0,0
2023-10-05,OUT07,Retail,3,3-Quotation,4,4,3708833,0,0
2023-10-05,OUT07,Retail,4,4-Negotiation,1,1,846557,0,0
2023-10-05,OUT08,Corporate & Fleet,1,1-Enquiry,5,39,35565768,0,0
2023-10-05,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,2,4,3697526,0,0
2023-10-06,OUT01,Retail,1,1-Enquiry,19,19,15565984,0,0
2023-10-06,OUT01,Retail,2,2-Test Drive / Demo,13,13,10903130,0,0
2023-10-06,OUT01,Retail,3,3-Quotation,11,11,8492117,0,0
2023-10-06,OUT01,Retail,4,4-Negotiation,6,7,5403012,0,0
2023-10-06,OUT01,Retail,5,5-Booking / PO,1,1,575276,0,0
2023-10-06,OUT02,Retail,1,1-Enquiry,20,20,16725979,0,0
2023-10-06,OUT02,Retail,2,2-Test Drive / Demo,25,26,20610065,0,0
2023-10-06,OUT02,Retail,3,3-Quotation,15,15,15726568,0,0
2023-10-06,OUT02,Retail,4,4-Negotiation,6,6,6003974,0,0
2023-10-06,OUT02,Retail,5,5-Booking / PO,1,1,808490,0,0
2023-10-06,OUT03,Retail,1,1-Enquiry,13,13,9250602,0,0
2023-10-06,OUT03,Retail,2,2-Test Drive / Demo,15,15,12237910,0,0
2023-10-06,OUT03,Retail,3,3-Quotation,9,9,8174001,0,0
2023-10-06,OUT03,Retail,4,4-Negotiation,6,6,4984716,0,0
2023-10-06,OUT03,Retail,5,5-Booking / PO,1,1,680664,0,0
2023-10-06,OUT04,Retail,1,1-Enquiry,13,13,13437582,0,0
2023-10-06,OUT04,Retail,2,2-Test Drive / Demo,12,12,9151602,0,0
2023-10-06,OUT04,Retail,3,3-Quotation,12,12,10386791,0,0
2023-10-06,OUT04,Retail,4,4-Negotiation,3,3,2257651,0,0
2023-10-06,OUT04,Retail,5,5-Booking / PO,4,4,2786275,0,0
2023-10-06,OUT05,Retail,1,1-Enquiry,12,12,9079204,0,0
2023-10-06,OUT05,Retail,2,2-Test Drive / Demo,8,8,7761323,0,0
2023-10-06,OUT05,Retail,3,3-Quotation,4,4,3989177,0,0
2023-10-06,OUT05,Retail,5,5-Booking / PO,2,2,1514666,0,0
2023-10-06,OUT06,Retail,1,1-Enquiry,9,10,11836878,0,0
2023-10-06,OUT06,Retail,2,2-Test Drive / Demo,5,6,5058925,0,0
2023-10-06,OUT06,Retail,3,3-Quotation,8,8,5272767,0,0
2023-10-06,OUT06,Retail,4,4-Negotiation,5,5,4627794,0,0
2023-10-06,OUT06,Retail,5,5-Booking / PO,1,1,612811,0,0
2023-10-06,OUT07,Retail,1,1-Enquiry,9,10,8022952,0,0
2023-10-06,OUT07,Retail,2,2-Test Drive / Demo,10,11,8790965,0,0
2023-10-06,OUT07,Retail,3,3-Quotation,6,6,6045329,0,0
2023-10-06,OUT07,Retail,4,4-Negotiation,1,1,846557,0,0
2023-10-06,OUT08,Corporate & Fleet,1,1-Enquiry,6,45,46245569,0,0
2023-10-06,OUT08,Corporate & Fleet,2,2-Test Drive / Demo,2,4,3697526,0,0
2023-10-07,OUT01,Retail,1,1-Enquiry,17,17,13868867,0,0
2023-10-07,OUT01,Retail,2,2-Test Drive / Demo,16,16,12641112,0,0
2023-10-07,OUT01,Retail,3,3-Quotation,12,11,9670479,0,0
2023-10-07,OUT01,Retail,4,4-Negotiation,6,8,6110681,0,0
2023-10-07,OUT01,Retail,5,5-Booking / PO,1,1,575276,0,0
2023-10-07,OUT02,Retail,1,1-Enquiry,21,21,16927772,0,0
2023-10-07,OUT02,Retail,2,2-Test Drive / Demo,24,24,20403020,0,0
2023-10-07,OUT02,Retail,3,3-Quotation,19,20,17058046,0,0
2023-10-07,OUT02,Retail,4,4-Negotiation,8,8,9887029,0,0
2023-10-07,OUT02,Retail,5,5-Booking / PO,2,2,1423612,0,0
2023-10-07,OUT03,Retail,1,1-Enquiry,15,15,12207695,0,0
2023-10-07,OUT03,Retail,2,2-Test Drive / Demo,12,12,9526707,0,0
2023-10-07,OUT03,Retail,3,3-Quotation,10,10,8598638,0,0
2023-10-07,OUT03,Retail,4,4-Negotiation,5,5,4234228,0,0
2023-10-07,OUT03,Retail,5,5-Booking / PO,1,1,680664,0,0
2023-10-07,OUT04,Retail,1,1-Enquiry,18,18,16909577,0,0
2023-10-07,OUT04,Retail,2,2-Test Drive / Demo,11,11,9036297,0,0
2023-10-07,OUT04,Retail,3,3-Quotation,11,11,8565655,0,0
2023-10-07,OUT04,Retail,4,4-Negotiation,6,6,5503984,0,0
2023-10-07,OUT04,Retail,5,5-Booking / PO,4,4,2786275,0,0
2023-10-07,OUT05,Retail,1,1-Enquiry,15,15,11902095,0,0
2023-10-07,OUT05,Retail,2,2-Test Drive / Demo,7,7,5669277,0,0
2023-10-07,OUT05,Retail,3,3-Quotation,4,4,3977870,0,0
2023-10-07,OUT05,Retail,4,4-Negotiation,1,1,904913,0,0
2023-10-07,OUT05,Retail,5,5-Booking / PO,2,2,1514666,0,0
2023-10-07,OUT06,Retail,1,1-Enquiry,9,9,10631864,0,0
