MonthStart,OutletID,Channel,TargetUnits,TargetRevenueINR
2024-12-01,OUT05,Retail,45,43458000
2025-01-01,OUT05,Retail,51,49253000
2025-02-01,OUT05,Retail,46,44424000
2025-03-01,OUT05,Retail,65,62773000
2025-04-01,OUT05,Retail,43,41527000
2025-05-01,OUT05,Retail,49,47321000
2025-06-01,OUT05,Retail,42,40561000
2025-07-01,OUT05,Retail,41,39595000
2025-08-01,OUT05,Retail,48,46355000
2025-09-01,OUT05,Retail,54,52150000
2025-10-01,OUT05,Retail,68,65670000
2025-11-01,OUT05,Retail,59,56979000
2025-12-01,OUT05,Retail,52,50218000
2026-01-01,OUT05,Retail,50,48287000
2026-02-01,OUT05,Retail,45,43458000
2026-03-01,OUT05,Retail,60,57944000
2026-04-01,OUT05,Retail,51,49253000
2026-05-01,OUT05,Retail,51,49253000
2026-06-01,OUT05,Retail,43,41527000
2026-07-01,OUT05,Retail,41,39595000
2026-08-01,OUT05,Retail,46,44424000
2026-09-01,OUT05,Retail,60,57944000
2023-10-01,OUT06,Retail,52,49572000
2023-11-01,OUT06,Retail,50,47665000
2023-12-01,OUT06,Retail,41,39086000
2024-01-01,OUT06,Retail,40,38132000
2024-02-01,OUT06,Retail,36,34319000
2024-03-01,OUT06,Retail,45,42899000
2024-04-01,OUT06,Retail,37,35272000
2024-05-01,OUT06,Retail,38,36226000
2024-06-01,OUT06,Retail,32,30506000
2024-07-01,OUT06,Retail,36,34319000
2024-08-01,OUT06,Retail,38,36226000
2024-09-01,OUT06,Retail,39,37179000
2024-10-01,OUT06,Retail,51,48619000
2024-11-01,OUT06,Retail,53,50525000
2024-12-01,OUT06,Retail,39,37179000
2025-01-01,OUT06,Retail,42,40039000
2025-02-01,OUT06,Retail,36,34319000
2025-03-01,OUT06,Retail,55,52432000
2025-04-01,OUT06,Retail,40,38132000
2025-05-01,OUT06,Retail,37,35272000
2025-06-01,OUT06,Retail,33,31459000
2025-07-01,OUT06,Retail,36,34319000
2025-08-01,OUT06,Retail,41,39086000
2025-09-01,OUT06,Retail,46,43852000
2025-10-01,OUT06,Retail,53,50525000
2025-11-01,OUT06,Retail,55,52432000
2025-12-01,OUT06,Retail,44,41945000
2026-01-01,OUT06,Retail,45,42899000
2026-02-01,OUT06,Retail,40,38132000
2026-03-01,OUT06,Retail,53,50525000
2026-04-01,OUT06,Retail,39,37179000
2026-05-01,OUT06,Retail,40,38132000
2026-06-01,OUT06,Retail,37,35272000
2026-07-01,OUT06,Retail,38,36226000
2026-08-01,OUT06,Retail,47,44805000
2026-09-01,OUT06,Retail,44,41945000
2023-10-01,OUT07,Retail,54,51763000
2023-11-01,OUT07,Retail,53,50804000
2023-12-01,OUT07,Retail,37,35467000
2024-01-01,OUT07,Retail,42,40260000
2024-02-01,OUT07,Retail,38,36426000
2024-03-01,OUT07,Retail,55,52721000
2024-04-01,OUT07,Retail,38,36426000
2024-05-01,OUT07,Retail,41,39301000
2024-06-01,OUT07,Retail,35,33550000
2024-07-01,OUT07,Retail,34,32591000
2024-08-01,OUT07,Retail,37,35467000
2024-09-01,OUT07,Retail,46,44094000
2024-10-01,OUT07,Retail,56,53680000
2024-11-01,OUT07,Retail,56,53680000
2024-12-01,OUT07,Retail,43,41218000
2025-01-01,OUT07,Retail,47,45053000
2025-02-01,OUT07,Retail,44,42177000
2025-03-01,OUT07,Retail,55,52721000
2025-04-01,OUT07,Retail,39,37384000
2025-05-01,OUT07,Retail,41,39301000
2025-06-01,OUT07,Retail,37,35467000
2025-07-01,OUT07,Retail,40,38343000
2025-08-01,OUT07,Retail,43,41218000
2025-09-01,OUT07,Retail,51,48887000
2025-10-01,OUT07,Retail,55,52721000
2025-11-01,OUT07,Retail,52,49846000
2025-12-01,OUT07,Retail,45,43136000
2026-01-01,OUT07,Retail,49,46970000
2026-02-01,OUT07,Retail,47,45053000
2026-03-01,OUT07,Retail,56,53680000
2026-04-01,OUT07,Retail,43,41218000
2026-05-01,OUT07,Retail,46,44094000
2026-06-01,OUT07,Retail,41,39301000
2026-07-01,OUT07,Retail,36,34508000
2026-08-01,OUT07,Retail,44,42177000
2026-09-01,OUT07,Retail,46,44094000
2023-10-01,OUT08,Corporate & Fleet,268,293790000
2023-11-01,OUT08,Corporate & Fleet,259,283924000
2023-12-01,OUT08,Corporate & Fleet,192,210476000
2024-01-01,OUT08,Corporate & Fleet,207,226920000
2024-02-01,OUT08,Corporate & Fleet,194,212669000
2024-03-01,OUT08,Corporate & Fleet,260,285020000
2024-04-01,OUT08,Corporate & Fleet,194,212669000
2024-05-01,OUT08,Corporate & Fleet,209,229112000
2024-06-01,OUT08,Corporate & Fleet,175,191840000
2024-07-01,OUT08,Corporate & Fleet,163,178686000
2024-08-01,OUT08,Corporate & Fleet,212,232401000
2024-09-01,OUT08,Corporate & Fleet,240,263095000
2024-10-01,OUT08,Corporate & Fleet,264,289405000
2024-11-01,OUT08,Corporate & Fleet,283,310233000
2024-12-01,OUT08,Corporate & Fleet,197,215957000
2025-01-01,OUT08,Corporate & Fleet,216,236786000
2025-02-01,OUT08,Corporate & Fleet,202,221438000
2025-03-01,OUT08,Corporate & Fleet,255,279539000
2025-04-01,OUT08,Corporate & Fleet,207,226920000
2025-05-01,OUT08,Corporate & Fleet,215,235689000
2025-06-01,OUT08,Corporate & Fleet,187,204995000
2025-07-01,OUT08,Corporate & Fleet,180,197321000
2025-08-01,OUT08,Corporate & Fleet,199,218150000
2025-09-01,OUT08,Corporate & Fleet,244,267480000
2025-10-01,OUT08,Corporate & Fleet,318,348601000
2025-11-01,OUT08,Corporate & Fleet,271,297078000
2025-12-01,OUT08,Corporate & Fleet,244,267480000
2026-01-01,OUT08,Corporate & Fleet,247,270769000
2026-02-01,OUT08,Corporate & Fleet,232,254325000
2026-03-01,OUT08,Corporate & Fleet,269,294886000
2026-04-01,OUT08,Corporate & Fleet,224,245556000
2026-05-01,OUT08,Corporate & Fleet,233,255422000
2026-06-01,OUT08,Corporate & Fleet,188,206091000
2026-07-01,OUT08,Corporate & Fleet,214,234593000
2026-08-01,OUT08,Corporate & Fleet,232,254325000
2026-09-01,OUT08,Corporate & Fleet,237,259807000
